family,subfamily,modality,ctgov_query,pubmed_query
AI-driven drug discovery,AI-originated drug candidates,Therapeutic,query.intr probe of 33 named candidates; see ai_originated_candidates.csv,"((""artificial intelligence""[tiab] OR ""machine learning""[tiab] OR ""deep learning""[tiab] OR ""generative model""[tiab]) AND (""drug discovery""[tiab] OR ""de novo design""[tiab] OR ""lead optimization""[tiab] OR ""virtual screening""[tiab] OR ""protein design""[tiab]))"
AI/ML in clinical research,AI/ML referenced in protocol,Diagnostic/analytic,"""machine learning"" OR ""artificial intelligence"" OR ""deep learning""","(""machine learning""[tiab] OR ""deep learning""[tiab] OR ""artificial intelligence""[tiab])"
Gene editing & gene therapy,AAV gene transfer,Therapeutic,"""adeno-associated virus"" OR ""AAV vector"" OR ""AAV9"" OR ""AAV8""","(""adeno-associated virus""[tiab] OR ""AAV vector""[tiab] OR ""rAAV""[tiab])"
Gene editing & gene therapy,CRISPR nuclease editing,Therapeutic,"""CRISPR"" OR ""Cas9""","(""CRISPR""[tiab] OR ""Cas9""[tiab])"
Gene editing & gene therapy,In vivo LNP genetic medicine,Therapeutic,"""lipid nanoparticle""","(""lipid nanoparticle""[tiab] OR ""lipid nanoparticles""[tiab])"
Gene editing & gene therapy,Engineered T-cell therapy (CAR-T),Therapeutic,"""chimeric antigen receptor"" OR ""CAR-T""","(""chimeric antigen receptor""[tiab] OR ""CAR-T""[tiab])"
Gene editing & gene therapy,Lentiviral ex vivo gene therapy,Therapeutic,"""lentiviral"" OR ""lentivirus""","(""lentiviral vector""[tiab] OR ""lentiviral gene therapy""[tiab])"
Gene editing & gene therapy,Base editing,Therapeutic,"""base editing"" OR ""base editor""","(""base editing""[tiab] OR ""base editor""[tiab] OR ""base editors""[tiab])"
Gene editing & gene therapy,Epigenome editing,Therapeutic,"""epigenome editing"" OR ""epigenetic editing"" OR ""epigenetic editor""","(""epigenome editing""[tiab] OR ""epigenetic editing""[tiab] OR ""epigenome editor""[tiab])"
Gene editing & gene therapy,Prime editing,Therapeutic,"""prime editing"" OR ""prime editor""","(""prime editing""[tiab] OR ""prime editor""[tiab] OR ""prime editors""[tiab])"
Precision medicine infrastructure,Pharmacogenomics,Diagnostic/analytic,"""pharmacogenomic"" OR ""pharmacogenetic""","(""pharmacogenomics""[tiab] OR ""pharmacogenetics""[tiab] OR ""pharmacogenomic""[tiab])"
Precision medicine infrastructure,Clinical WGS/WES,Diagnostic/analytic,"""whole genome sequencing"" OR ""whole exome sequencing""","(""whole genome sequencing""[tiab] OR ""whole exome sequencing""[tiab])"
Precision medicine infrastructure,N-of-1 / individualized genetic therapy,Therapeutic,"""n-of-1"" OR ""individualized antisense""","(""n-of-1""[tiab] AND (""antisense""[tiab] OR ""gene therapy""[tiab] OR ""genomic""[tiab]))"
Precision medicine infrastructure,Polygenic risk scores,Diagnostic/analytic,"""polygenic risk score"" OR ""polygenic score""","(""polygenic risk score""[tiab] OR ""polygenic score""[tiab])"
Precision medicine infrastructure,Companion diagnostics,Diagnostic/analytic,"""companion diagnostic""","(""companion diagnostic""[tiab] OR ""companion diagnostics""[tiab])"
Precision medicine infrastructure,Biobank-linked genomic cohorts,Diagnostic/analytic,"""biobank"" AND ""genomic""","(""biobank""[tiab] AND (""genomic""[tiab] OR ""genotype""[tiab] OR ""sequencing""[tiab]))"
Proteomics & multi-omics dx,Liquid biopsy / ctDNA,Diagnostic/analytic,"""circulating tumor DNA"" OR ""liquid biopsy""","(""circulating tumor DNA""[tiab] OR ""ctDNA""[tiab] OR ""liquid biopsy""[tiab])"
Proteomics & multi-omics dx,Mass-spec / general proteomics,Diagnostic/analytic,"""proteomics"" OR ""proteomic profiling""","(""proteomics""[tiab] OR ""proteomic""[tiab])"
Proteomics & multi-omics dx,Single-cell omics,Diagnostic/analytic,"""single-cell RNA sequencing"" OR ""single cell RNA sequencing"" OR ""scRNA-seq""","(""single-cell RNA sequencing""[tiab] OR ""scRNA-seq""[tiab] OR ""single cell transcriptomics""[tiab])"
Proteomics & multi-omics dx,Spatial omics,Diagnostic/analytic,"""spatial transcriptomics"" OR ""spatial proteomics""","(""spatial transcriptomics""[tiab] OR ""spatial proteomics""[tiab] OR ""spatial omics""[tiab])"
Proteomics & multi-omics dx,Affinity proteomics platforms,Diagnostic/analytic,"""SomaScan"" OR ""Olink"" OR ""proximity extension assay""","(""SomaScan""[tiab] OR ""Olink""[tiab] OR ""proximity extension assay""[tiab])"
