product_key,geography,event_date,action,indication_key,replaces,event_type_raw,pathway,source_url,status,notes
abecma,EU,2021-08-18,add,MM_4L,MM_5L,initial,conditional,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-abecma_en.pdf,verified-from-source,CHMP opinion 2021-06-24; Commission decision 2021-08-18. Conditional MA (procedural steps record renewals of the conditional MA 2022 and 2023). Bristol-Myers Sq
abecma,EU,2024-03-19,add,MM_3L,MM_4L;MM_5L,extension,conditional,https://www.ema.europa.eu/en/documents/procedural-steps-after/abecma-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2024-01-25; CD 2024-03-19. KarMMa-3 (MM-003). Replaces the 3+ prior therapies wording. Summary of opinion: https://www.ema.europa.eu/en/documents/s
abecma,US,2021-03-26,add,MM_5L,,initial,standard,https://www.fda.gov/media/147062/download,verified-from-source,Celgene/BMS; KarMMa basis.
abecma,US,2024-04-04,add,MM_3L,MM_4L;MM_5L,extension,standard,https://www.fda.gov/media/177545/download,verified-from-source,KarMMa-3 basis. Letter: 'to include an indication for the treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines
breyanzi,EU,2022-04-04,add,LBCL_3L,,initial,standard,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-opinion-breyanzi_en.pdf,verified-from-source,CHMP opinion 2022-01-27; Commission decision 2022-04-04. Standard MA. Bristol-Myers Squibb Pharma EEIG. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/
breyanzi,EU,2023-04-28,add,LBCL_2L,LBCL_3L,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2023-03-30; CD 2023-04-28. TRANSFORM (transplant-intended 2L); EU did not adopt the US transplant-ineligible PILOT population. Summary of opinion: 
breyanzi,EU,2025-03-12,add,FL_3L,,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2025-01-30; CD 2025-03-12. TRANSCEND FL (JCAR017-FOL-001). Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-
breyanzi,EU,2025-11-21,add,MCL,,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation_en.pdf,verified-from-source,CHMP opinion 2025-10-16; CD 2025-11-21. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-breyanz
breyanzi,US,2021-02-05,add,LBCL_3L,,initial,standard,https://www.fda.gov/media/145712/download,verified-from-source,Juno Therapeutics/BMS; TRANSCEND NHL 001 basis.
breyanzi,US,2022-06-24,add,LBCL_2L,LBCL_3L,extension,standard,https://www.fda.gov/media/159473/download,verified-from-source,TRANSFORM and PILOT basis. Broader than Yescarta 2L: includes transplant-ineligible relapse at any time after first line.
