product,product_key,sponsor_at_event,event_date,event_type,is_retreat,event_title,counterparty,amount_usd_m,manufacturing_model,geography,months_from_first_approval,after_approval,is_prv_sale,stated_reason_verbatim,source_doc,source_url,fetched_date,status,usable,origin,notes
,,,2019,acquisition,False,Astellas acquires Audentes,,,AAV systemic,,,False,False,,,,,seeded-from-memory,False,investment_events.csv seed,
,,,2025,acquisition,False,Eli Lilly acquires Verve Therapeutics,,,in vivo LNP base editing,,,False,False,,,,,seeded-from-memory,False,investment_events.csv seed,
,,,2025,acquisition,False,AstraZeneca acquires EsoBiotec,,,in vivo CAR-T,,,False,False,,,,,seeded-from-memory,False,investment_events.csv seed,
,,,2025,acquisition,False,AbbVie acquires Capstan Therapeutics,,,in vivo CAR-T,,,False,False,,,,,seeded-from-memory,False,investment_events.csv seed,
,,,2025,acquisition,False,Gilead / Kite acquires Interius BioTherapeutics,,,in vivo CAR-T,,,False,False,,,,,seeded-from-memory,False,investment_events.csv seed,
Abecma,abecma,Celgene,2019-01-03,acquisition,False,Bristol-Myers Squibb acquires Celgene (Abecma co-developer with bluebird bio),Bristol-Myers Squibb,,autologous CAR-T,worldwide,-26.7,False,False,"each share of Celgene common stock ... will automatically be converted into the right to receive (1) $50.00 in cash, without interest, (2) one share of BMS common stock and (3) one tradeable contingent value right (a 'CVR') representing the right to receive $9.00 in cash if a specified set of milestones is achieved","Celgene Corp Form 8-K (Item 1.01), Agreement and Plan of Merger with Bristol-Myers Squibb dated 2019-01-02 (filed 2019-01-04)",https://www.sec.gov/Archives/edgar/data/816284/000114420419000539/tv510358_8k.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Predates first approval (Abecma 2021-03-26; Breyanzi 2021-02-05); included because it fixed the sponsor at launch. Announced 2019-01-03; closing 2019-11-20 per Celgene 8-K https://www.sec.gov/Archives/edgar/data/816284/000110465919065939/tm1923405d1_8k.htm. Headline value c. USD 74bn per contemporaneous releases (not restated in the 8-K read); amount left blank.
Abecma,abecma,,2021,restructuring,True,bluebird bio spins off 2seventy bio,,,lentiviral ex vivo; CAR-T,,3.2,True,False,,,,,seeded-from-memory,False,investment_events.csv seed,
Abecma,abecma,bluebird bio,2021-11-04,restructuring,True,bluebird bio completes tax-free spin-off of oncology business (incl. US Abecma 50/50 share) as 2seventy bio,2seventy bio,,autologous CAR-T,US,7.3,True,False,"On November 4, 2021, bluebird bio completed the tax-free spin-off of its oncology business, 2seventy bio, Inc.","bluebird bio 8-K Ex-99.1, Third Quarter 2021 Financial Results (2021-11-05)",https://www.sec.gov/Archives/edgar/data/1293971/000129397121000085/exhibit99120211105.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Separation first announced January 2021. Also in release: completion of the sale of bluebird's North Carolina manufacturing facility.
Abecma,abecma,2seventy bio,2023-09-12,restructuring,True,2seventy bio strategic restructuring: c.40% workforce reduction to prioritise Abecma,,,autologous CAR-T,US,29.6,True,False,"2seventy bio Announces Strategic Restructuring to Prioritize Growth of Abecma, Streamline Pipeline Advancement and Preserve Financial Runway. Approximately 40% workforce reduction combined with related actions expected to achieve $130+ million savings in the 2024-2025 period",2seventy bio 8-K Ex-99.1 press release (2023-09-12),https://www.sec.gov/Archives/edgar/data/1860782/000186078223000101/a91223pr.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Savings USD 130m+ over 2024-2025 (not a charge); amount field left blank.
Abecma,abecma,2seventy bio,2024-01-30,restructuring,True,2seventy bio sells R&D pipeline to Regeneron and focuses exclusively on Abecma,Regeneron,,autologous CAR-T,US,34.2,True,False,"Company to focus exclusively on commercialization and development of Abecma, in partnership with Bristol Myers Squibb. Company to sell R&D pipeline to Regeneron to launch Regeneron Cell Medicines business ... Expected annual cost savings of approximately $150 million in 2024","2seventy bio 8-K Ex-99.1, '2seventy bio Announces New Strategic Path Forward' (2024-01-30)",https://www.sec.gov/Archives/edgar/data/1860782/000186078224000007/tsvtfirefoxpr_final1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Pipeline sale, not a sale of Abecma; classified as sponsor restructuring around the product."
Abecma,abecma,Bristol Myers Squibb / 2seventy bio,2024-04-18,shipment-pause-or-restriction,False,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,36.8,True,False,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Abecma,abecma,2seventy bio,2025-03-10,acquisition,False,Bristol Myers Squibb acquires 2seventy bio (US Abecma profit-share partner),Bristol Myers Squibb,286,autologous CAR-T,US,47.5,True,False,"BMS will acquire all of the outstanding shares of 2seventy bio at a price of $5.00 per share in an all-cash transaction for a total equity value of approximately $286 million, or $102 million net of estimated cash. The deal represents an 88% premium to the closing price of $2.66 on March 7, 2025.","2seventy bio 8-K Ex-99.1, '2seventy bio Enters into Definitive Agreement to be Acquired by Bristol Myers Squibb' (2025-03-11)",https://www.sec.gov/Archives/edgar/data/1860782/000119312525051427/d905827dex991.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Closing 2025-05-13 per 2seventy 8-K https://www.sec.gov/Archives/edgar/data/1860782/000114036125018514/ny20048433x3_8k.htm. After closing no independent partner disclosure of US Abecma revenue.
Abecma,abecma,,2025,acquisition,False,Bristol Myers Squibb acquires 2seventy bio,,,autologous CAR-T,,51.2,True,False,,,,,seeded-from-memory,False,investment_events.csv seed,
Adstiladrin,adstiladrin,Ferring,2025-04-24,shipment-pause-or-restriction,True,Supply-constrained initial US rollout (H2 2023) ended with full availability announced January 2024; third manufacturing site approved April 2025,,,other,US,28.3,True,False,"As announced in January 2024, ADSTILADRIN is fully available and accessible in the U.S. ADSTILADRIN has confirmed 99 percent coverage for commercial and government-insured patients.","Ferring press release, 'U.S. FDA approves second drug product manufacturing facility for Adstiladrin' (2025-04-24)",https://www.ferring.com/u-s-fda-approves-second-drug-product-manufacturing-facility-for-adstiladrin-nadofaragene-firadenovec-vncg/,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Event is a capacity-limited launch (approval 2022-12-16, initial rollout H2 2023), not a sponsor retreat; the January 2024 'fully available' release itself was not retrieved, so the row is dated by the April 2025 release that restates it. Ferring is private: no SEC filings. Same release: FDA approval of Parsippany NJ site 'secures a final $200 million payment from Royalty Pharma'."
Alofisel,alofisel,Takeda,2024-02-01,restructuring,True,Takeda records JPY 74.0bn impairment on Alofisel after ADMIRE-CD II failure,,,allogeneic cell,worldwide,70.3,True,False,The JPY 119.3 billion impairment losses recorded in the current period primarily includes JPY 74.0 billion impairment charges for ALOFISEL (for complex Crohn's perianal fistulas) following topline results of phase 3 ADMIRE-CD II trial,"Takeda 6-K, FY2023 Q3 (nine months to 2023-12-31) financial results (2024-02-02)",https://www.sec.gov/Archives/edgar/data/1395064/000139506424000016/form6k_020224.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Amount in JPY (c. USD 0.5bn at early-2024 rates; not converted in the amount field). ADMIRE-CD II topline 2023-10-17: study 'did not meet its primary endpoint of combined remission at 24 weeks' (https://www.sec.gov/Archives/edgar/data/1395064/000139506423000129/alofiseltoplineresults.htm).
Alofisel,alofisel,Takeda,2024-12-13,discontinuation-or-withdrawal,True,Takeda voluntarily withdraws Alofisel's EU marketing authorisation,European Commission,,allogeneic cell,EU,80.7,True,False,"'Those valuable discussions indicated that despite the conflicting results across our data, the clinical benefit of Alofisel is no longer sufficient to justify its continued use in the EU. We recognize the difficulty of this outcome for patients and will work closely with the Crohn's Perianal Fistulas (CPF) community during this transition.' (Ramona Sequeira, Takeda)","Takeda statement, 'Takeda Provides an Update on Alofisel (darvadstrocel)' (2024-12-13); EMA EPAR page, Alofisel",https://www.takeda.com/newsroom/statements/2024/takeda-alofisel-update-2024/,2026-09-05,verified-from-source,True,agent events_by_product.csv,"EMA: 'On 13 December 2024, the European Commission withdrew the marketing authorisation for Alofisel ... at the request of the marketing authorisation holder, Takeda Pharma A/S, which notified the European Commission of its decision to permanently stop the marketing of the product in the EU' (https://www.ema.europa.eu/en/medicines/human/EPAR/alofisel). Takeda: 'engaging health authorities about this outcome in countries where Alofisel is currently approved' (Japan)."
Alofisel,alofisel,Takeda,2024-12-13,discontinuation-or-withdrawal,True,EU marketing authorisation withdrawn or expired,,,allogeneic MSC,EU,80.7,True,False,,EMA EPAR page,https://www.ema.europa.eu/en/medicines/human/EPAR/alofisel,,verified-from-source,True,product_cohort.csv (F020),
