product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Vyjuvek,list_price,2023-05-19,US,,USD per vial (WAC),"","EDGAR full-text search of Krystal Biotech filings for '24,250' (run 2026-09-04)",https://efts.sec.gov/LATEST/search-index?q=%2224%2C250%22&ciks=0001711279,gap,"No SEC document read (13 earnings releases 2023-2026, three 10-Qs, 10-K FY2025 excerpt) states the launch WAC; EDGAR full-text search of Krystal filings for '24,250' returned zero hits; drugs.com price guide returned HTTP 403; WebSearch quota was exhausted this session. Trade press at launch widely reported a WAC of $24,250 per vial - UNVERIFIED here, confirm before use. Dosing is weekly and vial count varies with wound area, so annual cost per patient is not a fixed multiple."
Vyjuvek,patient_start_forms,2023-06-30,US,121,patient start forms (cumulative),"As of June 30, the Company received 121 Patient Start Forms of which 30 start forms were generated for patients with dominant dystrophic epidermolysis bullosa.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2023 Financial Results and Operational Highlights (2023-08-07)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000067/exhibit991q22023pressrelea.htm,verified-from-source,"First six weeks after 2023-05-19 approval; pre-revenue quarter. 30 of 121 for DDEB."
Vyjuvek,statement,2023-08-07,US,,reporting change,"The Company will continue to report on the number of Patient Start Forms submitted to the Company for the first three quarters following VYJUVEK approval and will transition to reporting on the number of Patients on Therapy beginning in the first quarter of 2024.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2023 Financial Results and Operational Highlights (2023-08-07)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000067/exhibit991q22023pressrelea.htm,verified-from-source,"In practice, from the Q4 2023 release onward Krystal reported cumulative US reimbursement approvals and compliance rather than a patients-on-therapy count."
Vyjuvek,statement,2023-08-07,US,,payer coverage,"The Company also received positive coverage determinations from several of the national health plans, including UnitedHealthcare, as well as regional plans such as BlueCross BlueShield, state Medicaid plans and other smaller regional health plans.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2023 Financial Results and Operational Highlights (2023-08-07)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000067/exhibit991q22023pressrelea.htm,verified-from-source,""
Vyjuvek,statement,2023-09-30,US,,revenue recognition / first sale,"The Company recorded its first sales for patients that began treatment in August 2023","Krystal Biotech 8-K Ex-99.1, Third Quarter 2023 Financial Results and Business Update (2023-11-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000074/exhibit9912023-3q23pr.htm,verified-from-source,"First commercial sales in August 2023 (Q3 2023)."
Vyjuvek,patient_start_forms,2023-09-30,US,284,patient start forms (cumulative),"The Company received 284 Patient Start Forms from 136 unique prescribers as of the end of the third quarter of 2023","Krystal Biotech 8-K Ex-99.1, Third Quarter 2023 Financial Results and Business Update (2023-11-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000074/exhibit9912023-3q23pr.htm,verified-from-source,"20% of start forms from DDEB patients; 33% from patients aged 10 or younger; 'Patient compliance on VYJUVEK is currently tracking at 96%'."
Vyjuvek,prescribers,2023-09-30,US,136,unique prescribers (cumulative),"The Company received 284 Patient Start Forms from 136 unique prescribers as of the end of the third quarter of 2023","Krystal Biotech 8-K Ex-99.1, Third Quarter 2023 Financial Results and Business Update (2023-11-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000074/exhibit9912023-3q23pr.htm,verified-from-source,""
Vyjuvek,statement,2023-11-06,US,,payer coverage,"The Company has received positive coverage determinations from all major commercial national health plans","Krystal Biotech 8-K Ex-99.1, Third Quarter 2023 Financial Results and Business Update (2023-11-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000074/exhibit9912023-3q23pr.htm,verified-from-source,""
Vyjuvek,patient_start_forms,2024-02-15,US,420,patient start forms (cumulative),"As of February 2024, the Company had secured 35% of the 1,200 identified patient base in patient start forms","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results and Business Updates (2024-02-26)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,derived,"35% x 1,200 = 420 (analyst arithmetic). Also gives Krystal's own identified US DEB patient base of ~1,200."
Vyjuvek,reimbursement_approvals,2024-02-15,US,228,reimbursement approvals (cumulative),"228 reimbursement approvals for VYJUVEK while patient compliance with once weekly treatment while on drug was 96%","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results and Business Updates (2024-02-26)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,verified-from-source,"Cumulative since launch; best available proxy for patients on therapy. Compliance 96%."
Vyjuvek,statement,2024-02-26,US,,payer coverage,"positive access has been achieved for 97% of lives covered under commercial plans and 88% of lives covered under Medicaid","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results and Business Updates (2024-02-26)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,verified-from-source,""
Vyjuvek,reimbursement_approvals,2024-04-15,US,330,reimbursement approvals (cumulative),"As of April, the Company has secured over 330 reimbursement approvals for VYJUVEK in the U.S.","Krystal Biotech 8-K Ex-99.1, First Quarter 2024 Financial Results and Business Updates (2024-05-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000018/exhibit9912024-1q24pr.htm,verified-from-source,"Value is a floor ('over 330'). 'Patient compliance with once weekly treatment while on drug remains high at 91%'."
Vyjuvek,reimbursement_approvals,2024-07-15,US,400,reimbursement approvals (cumulative),"As of July, the Company has secured over 400 reimbursement approvals for VYJUVEK in the U.S. and positive access determinations have been achieved for 97% of lives covered under commercial and Medicaid plans.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2024 Financial Results and Business Updates (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000038/a2q24exhibit991prjune.htm,verified-from-source,"Floor. 'High patient compliance with weekly treatment while on drug continued at 90% as of the end of the quarter.'"
Vyjuvek,reimbursement_approvals,2024-10-15,US,460,reimbursement approvals (cumulative),"As of October, the Company has secured over 460 reimbursement approvals for VYJUVEK in the U.S.","Krystal Biotech 8-K Ex-99.1, Third Quarter 2024 Financial Results and Business Updates (2024-11-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000055/a3q24exhibit991pr.htm,verified-from-source,"Floor. Compliance 87% at quarter end; 97% of commercial and Medicaid lives with positive access."
Vyjuvek,reimbursement_approvals,2025-02-15,US,510,reimbursement approvals (cumulative),"As of February 2025, the Company has secured over 510 reimbursement approvals for VYJUVEK in the U.S. and continues to maintain strong access nationwide including positive access determinations for 97% of lives covered under commercial and Medicaid plans.","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial and Operating Results (2025-02-19)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000009/a4q24exhibit991pr.htm,verified-from-source,"Floor. 'High patient compliance with weekly treatment while on drug continued at 85% as of the end of 2024.'"
Vyjuvek,reimbursement_approvals,2025-04-15,US,540,reimbursement approvals (cumulative),"As of April, the Company has secured over 540 reimbursement approvals for VYJUVEK in the U.S. and continues to maintain strong access nationwide including positive access determinations for 97% of lives covered","Krystal Biotech 8-K Ex-99.1, First Quarter 2025 Financial and Operating Results (2025-05-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000045/a1q25exhibit991pr.htm,verified-from-source,"Floor. Compliance 83% at quarter end. Also: 'The Company is on track for its first European launch in Germany in mid-2025'."
Vyjuvek,reimbursement_approvals,2025-08-04,US,575,reimbursement approvals (cumulative),"The Company has secured over 575 reimbursement approvals for VYJUVEK in the U.S.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2025 Financial and Operating Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000078/a2q25exhibit991pr.htm,verified-from-source,"Floor. 'Patient compliance with weekly treatment while on drug was 82%'. 'The Company is working to enable first European launch in Germany in 3Q and France in 4Q.'"
Vyjuvek,reimbursement_approvals,2025-11-03,US,615,reimbursement approvals (cumulative),"The Company has secured over 615 reimbursement approvals for VYJUVEK in the United States","Krystal Biotech 8-K Ex-99.1, Third Quarter 2025 Financial and Operating Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000088/a3q25exhibit991pr.htm,verified-from-source,"Floor."
Vyjuvek,patients_cumulative,2025-11-03,Germany,20,patients prescribed (approx.),"The Company estimates that approximately 20 patients have been prescribed VYJUVEK therapy across Germany, with over 10 German centers prescribing VYJUVEK to date.","Krystal Biotech 8-K Ex-99.1, Third Quarter 2025 Financial and Operating Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000088/a3q25exhibit991pr.htm,verified-from-source,"Prescribed, not necessarily dosed. Germany launch late August 2025."
Vyjuvek,centres,2025-11-03,Germany,10,prescribing centres,"The Company estimates that approximately 20 patients have been prescribed VYJUVEK therapy across Germany, with over 10 German centers prescribing VYJUVEK to date.","Krystal Biotech 8-K Ex-99.1, Third Quarter 2025 Financial and Operating Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000088/a3q25exhibit991pr.htm,verified-from-source,"Floor ('over 10')."
Vyjuvek,statement,2025-11-03,International,,launch timing,"In late August, the Company launched VYJUVEK in Germany ... in October, the Company launched VYJUVEK in France ... In October, the Company launched VYJUVEK in Japan","Krystal Biotech 8-K Ex-99.1, Third Quarter 2025 Financial and Operating Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000088/a3q25exhibit991pr.htm,verified-from-source,"Three separate sentences in the release joined here. 10-Q Q2 2026 confirms: 'We launched VYJUVEK in the United States in 2023, in Germany in August 2025, and in France and Japan in October 2025.'"
Vyjuvek,statement,2025-09-30,US,,label expansion,"In September 2025, the FDA approved a label update for VYJUVEK that expanded the treatment eligible population to include DEB patients from birth.","Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Eligible-population change (previously 6 months and older)."
Vyjuvek,statement,2025-11-03,US,,revenue recognition,"The transaction price that we recognize as revenue for VYJUVEK sales includes an estimate of variable consideration, which includes discounts, returns, copay assistance and rebates.","Krystal Biotech 10-Q for the quarter ended 2025-09-30 (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000087/krys-20250930.htm,verified-from-source,"Point of recognition (transfer of control on delivery to the specialty pharmacy / patient) not captured by the fetch."
Vyjuvek,reimbursement_approvals,2026-02-17,US,660,reimbursement approvals (cumulative),"The Company has secured over 660 reimbursement approvals for VYJUVEK in the United States.","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial and Operating Results (2026-02-17)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000018/a4q25exhibit991pr.htm,verified-from-source,"Floor."
Vyjuvek,patients_cumulative,2026-02-17,International,90,"patients prescribed (Germany, France, Japan)","The Company estimates that over 90 patients have been prescribed VYJUVEK therapy across Germany, France, and Japan.","Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial and Operating Results (2026-02-17)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000018/a4q25exhibit991pr.htm,verified-from-source,"Floor ('over 90'). 'High patient demand is driving steady VYJUVEK uptake since launch in Germany, France and Japan.'"
Vyjuvek,statement,2026-02-17,Total,,cumulative revenue,"Since our first commercial launch of VYJUVEK in the United States, we have reported $730.3 million in net product revenue.","Krystal Biotech 10-K for FY2025 (2026-02-17)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000016/krys-20251231.htm,verified-from-source,"Through 2025-12-31 (50.7 + 290.5 + 389.1 = 730.3)."
Vyjuvek,reimbursement_approvals,2026-05-04,US,695,reimbursement approvals (cumulative),"In the United States, the Company has secured over 695 reimbursement approvals for VYJUVEK and continues to broaden the prescriber base across the country, with over 60 new prescribers in the first quarter of 2026 and over 570 unique prescribers since launch.","Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial and Operating Results (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,verified-from-source,"Floor."
Vyjuvek,prescribers,2026-05-04,US,570,unique prescribers (cumulative),"In the United States, the Company has secured over 695 reimbursement approvals for VYJUVEK and continues to broaden the prescriber base across the country, with over 60 new prescribers in the first quarter of 2026 and over 570 unique prescribers since launch.","Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial and Operating Results (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,verified-from-source,"Floor."
Vyjuvek,patients_cumulative,2026-05-04,International,140,"patients prescribed (Germany, France, Japan)","Overseas, the Company estimates that over 140 patients in Germany, France and Japan have been prescribed VYJUVEK.","Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial and Operating Results (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,verified-from-source,"Floor ('over 140')."
Vyjuvek,statement,2026-05-04,Europe,,pricing,"Pricing discussions with German and French reimbursement authorities are ongoing.","Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial and Operating Results (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,verified-from-source,"European revenue booked at launch (pre-negotiation) prices; net price may fall after AMNOG / French negotiations."
Vyjuvek,statement,2026-03-31,US,,gross-to-net,"Note 3 discloses allowances totaling $81.3 million as of March 31, 2026, comprising rebates ($75.8 million), prompt pay discounts ($5.3 million) and other accruals ($0.2 million).","Krystal Biotech 10-Q for the quarter ended 2026-03-31, Note 3 product revenue by geography (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000043/krys-20260331.htm,verified-from-source,"Paraphrase by the fetch tool of the 10-Q Note 3 allowance table; exact wording not captured."
Vyjuvek,reimbursement_approvals,2026-08-03,US,730,reimbursement approvals (cumulative),"The Company has secured over 730 reimbursement approvals for VYJUVEK and, as of the end of 2Q 2026, had expanded the VYJUVEK prescriber base to include over 640 unique prescribers.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Floor. Best cumulative US patient proxy as of 2026-09-04."
Vyjuvek,prescribers,2026-06-30,US,640,unique prescribers (cumulative),"The Company has secured over 730 reimbursement approvals for VYJUVEK and, as of the end of 2Q 2026, had expanded the VYJUVEK prescriber base to include over 640 unique prescribers.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Floor."
Vyjuvek,statement,2026-08-03,Total,,cumulative revenue / margin,"$965.9 million since launch ... Gross margin for the quarter was 95%.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Two separate phrases from the release. Cumulative = 50.7 + 290.5 + 389.1 + 235.6."
Vyjuvek,statement,2026-08-03,International,,launch timing,"In May, VYJUVEK was approved by the United Kingdom (UK)... Pricing discussions in the UK are now underway. ... The Company continues to expect commercial launches in both countries [Italy and Spain] before year end.","Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Bracketed text added for clarity by the fetch summary."
