system,product,event_type,event_date,body,outcome,detail,amount,currency,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
United States,CAR-T class,coverage-determination,2019-08-07,CMS,covered,National Coverage Determination 110.24 Chimeric Antigen Receptor (CAR) T-cell Therapy. Autologous CAR-T for cancer nationally covered when given at FDA REMS-enrolled facilities for FDA-approved indications or compendia-supported uses. Effective 2019-08-07; implementation date shown on current NCD page 2021-09-20 (latest version).,,,"CMS covers autologous treatment for cancer with T-cells expressing at least one chimeric antigen receptor (CAR) when administered at healthcare facilities enrolled in the FDA risk evaluation and mitigation strategies (REMS) and used for a medically accepted indication as defined at Social Security Act section 1861(t)(2)-i.e., is used for either an FDA-approved indication (according to the FDA-approved label for that product), or for other uses when the product has been FDA-approved and the use is supported in one or more CMS-approved compendia.","CMS Medicare Coverage Database, NCD 110.24",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=374,2026-09-06,verified-from-source,Version history on page: July 2021 added code C9076 for Breyanzi; quarterly coding updates since without policy change.
United States,Kymriah,payment-rule,2017-08-30,Novartis / CMS,stated,At FDA approval Novartis announced a collaboration with CMS on an outcomes-based payment approach for Kymriah in paediatric and young adult ALL (payment only if response by end of first month).,,,"Furthermore, Novartis is collaborating with CMS to make an outcomes-based approach available to allow for payment only when pediatric and young adult ALL patients respond to Kymriah by the end of the first month.","Novartis Form 6-K, media release 30 August 2017",https://www.sec.gov/Archives/edgar/data/1114448/000117184317005301/f6k_083017.htm,2026-09-06,verified-from-source,"Same release: ""Novartis is establishing a network of certified treatment centers throughout the country"" (no number given). Later status of the CMS arrangement not verified here."
United States,Kymriah,add-on-payment,2018-08-17,CMS,granted,"FY2019 IPPS final rule approves New Technology Add-on Payment for KYMRIAH and YESCARTA; maximum add-on per case (50 percent of $373,000 average cost).",186500,USD,"As a result, the maximum new technology add-on payment for a case involving the use of KYMRIAH or YESCARTA is $186,500 for FY 2019.","FY2019 IPPS/LTCH PPS final rule, 83 FR 41144 (FR Doc 2018-16766)",https://www.federalregister.gov/documents/2018/08/17/2018-16766,2026-09-06,verified-from-source,"Rule also states: ""we are approving the following nine applications for new technology add-on payments for FY 2019: KYMRIAH (Tisagenlecleucel) and YESCARTA (Axicabtagene Ciloleucel)""; estimated FY2019 impact $71,989,000 (373 patients)."
United States,Yescarta,add-on-payment,2018-08-17,CMS,granted,FY2019 NTAP for YESCARTA (same decision as Kymriah).,186500,USD,"As a result, the maximum new technology add-on payment for a case involving the use of KYMRIAH or YESCARTA is $186,500 for FY 2019.",FY2019 IPPS/LTCH PPS final rule (FR Doc 2018-16766),https://www.federalregister.gov/documents/2018/08/17/2018-16766,2026-09-06,verified-from-source,
United States,Kymriah,add-on-payment,2019-08-16,CMS,granted,FY2020 IPPS final rule raises NTAP maximum to 65 percent of cost for KYMRIAH and YESCARTA.,242450,USD,"the maximum new technology add-on payment amount for a case involving the use of KYMRIAH and YESCARTA will be $242,450 for FY 2020;","FY2020 IPPS/LTCH PPS final rule, 84 FR 42044 (FR Doc 2019-16762)",https://www.federalregister.gov/documents/2019/08/16/2019-16762,2026-09-06,verified-from-source,
United States,Yescarta,add-on-payment,2019-08-16,CMS,granted,FY2020 NTAP for YESCARTA.,242450,USD,"the maximum new technology add-on payment amount for a case involving the use of KYMRIAH and YESCARTA will be $242,450 for FY 2020;",FY2020 IPPS/LTCH PPS final rule (FR Doc 2019-16762),https://www.federalregister.gov/documents/2019/08/16/2019-16762,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2020-09-18,CMS,started,"FY2021 IPPS final rule creates new MS-DRG 018 (Chimeric Antigen Receptor (CAR) T-cell and Other Immunotherapies) for discharges from 2020-10-01, with a special relative-weight method that excludes clinical-trial cases (diagnosis code Z00.6 or standardized drug charges under $373,000).",,,"Specifically, we proposed that clinical trial claims that group to new MS-DRG 018 would not be included when calculating the average cost for new MS-DRG 018 that is used to calculate the relative weight for this MS-DRG, so that the relative weight reflects the costs of the CAR T-cell therapy drug.","FY2021 IPPS/LTCH PPS final rule, 85 FR 58432 (FR Doc 2020-19637)",https://www.federalregister.gov/documents/2020/09/18/2020-19637,2026-09-06,verified-from-source,"FY2021 and FY2022 Table 5 relative weights for MS-DRG 018 could not be retrieved (cms.gov table zips for those years return 404); the FR text cites a standardized charge per case of $913,224 for the DRG in the proposed-rule data."
United States,Kymriah,add-on-payment,2020-09-18,CMS,restricted,FY2021 IPPS final rule discontinues NTAP for KYMRIAH and YESCARTA (no longer new; cases assigned to new MS-DRG 018).,,,We are finalizing our proposal to discontinue new technology add-on payments for KYMRIAH and YESCARTA for FY 2021.,FY2021 IPPS/LTCH PPS final rule (FR Doc 2020-19637),https://www.federalregister.gov/documents/2020/09/18/2020-19637,2026-09-06,verified-from-source,Applies equally to Yescarta.
United States,Abecma,add-on-payment,2021-08-13,CMS,granted,FY2022 IPPS final rule NTAP for ABECMA (cases in MS-DRG 018).,272675,USD,"As a result, the maximum new technology add-on payment for a case involving the use of ABECMA is $272,675.00 for FY 2022.","FY2022 IPPS/LTCH PPS final rule, 86 FR 44774 (FR Doc 2021-16519)",https://www.federalregister.gov/documents/2021/08/13/2021-16519,2026-09-06,verified-from-source,
United States,Tecartus,add-on-payment,2021-08-13,CMS,granted,FY2022 IPPS final rule NTAP for TECARTUS.,259350,USD,"As a result, the maximum new technology add-on payment for a case involving the use of TECARTUS is $259,350 for FY 2022.",FY2022 IPPS/LTCH PPS final rule (FR Doc 2021-16519),https://www.federalregister.gov/documents/2021/08/13/2021-16519,2026-09-06,verified-from-source,
United States,Breyanzi,add-on-payment,2021-08-13,CMS,restricted,FY2022 IPPS final rule: NTAP application for Breyanzi not approved.,,,"Therefore, we are not approving new technology add-on payments for Breyanzi for FY 2022.",FY2022 IPPS/LTCH PPS final rule (FR Doc 2021-16519),https://www.federalregister.gov/documents/2021/08/13/2021-16519,2026-09-06,verified-from-source,
United States,Carvykti,add-on-payment,2022-08-10,CMS,granted,FY2023 IPPS final rule NTAP for CARVYKTI (and continued for ABECMA).,289532.75,USD,"As a result, the maximum new technology add-on payment for a case involving the use of CARVYKTI or ABECMA is $289,532.75 for FY 2023.","FY2023 IPPS/LTCH PPS final rule, 87 FR 48780 (FR Doc 2022-16472)",https://www.federalregister.gov/documents/2022/08/10/2022-16472,2026-09-06,verified-from-source,
