id,section,claim,rests_on,verdict,a_reader_would_object,reader_interest,fix
C1,Title,"Program halts in molecular precision medicine are dominated by sponsor-attributed business decisions, not scientific failure.","I recomputed the category distribution over halted_trials_dedup.csv: business 242/784 = 30.9%, recruitment 225/784 = 28.7%. The gap is 2.2 pp (one-sided binomial p = 0.23 for business > recruitment). Business 'dominates' only in the narrow pairwise comparison against safety+efficacy (40), which the subtitle clause does state. The evidence cannot bear 'dominated' as a reader will parse it.",overreach - fixable by rewording,"Two objections, both fatal on a first read. (1) Business decisions are the largest of eleven categories by two percentage points over recruitment, and the paper's own Section 2.2 concedes recruitment leads in three of four families - so 'dominated' is false as a statement about halts. (2) The paper's actual result is an interaction confined to 144 of 784 trials (18.4% of the halted set); a title asserting a field-wide main effect is precisely the backslide Section 2.1 warns against.",this is why they are reading,"Retitle to the interaction: 'Business-attributed discontinuation in molecular precision medicine concentrates in industry-sponsored therapeutic programs: a registry analysis of 784 halted trials'. Drop 'dominated'. If you keep a contrastive title, it must be 'more often than scientific failure', not 'dominated by'."
C2,Subtitle,"The analysis covers 14,061 clinical trials and 784 halted programs.","Verified: 14,061 rows across 13,486 unique registrations in trial_records.csv; 784 rows in halted_trials_dedup.csv. But the 784 are trial registrations, not programs - and Limitation 3b says so in the paper's own words ('Every ratio in this paper describes halted trials, not programs').",overreach - fixable by rewording,The title page contradicts Limitation 3b. A referee who notices this on page 1 will read the rest looking for more of it.,useful,"Change 'halted programs' to 'halted trial registrations'. Do the same in the Conclusion ('programs stop for money'), which has the identical error."
C3,Abstract,"Funding, business and strategic decisions are cited in 242 of 784 halted trials against 40 citing safety or efficacy failure.","Exact. I reproduced 242 business and 15 safety + 25 efficacy = 40 from halted_trials_dedup.csv. The 784 set, the 34 rollover exclusions and the 33 deduplications all reconcile (851 - 34 = 817 - 33 = 784).",solid,"Only that a count of halted trials is not a count of programs, which the paper concedes elsewhere.",this is why they are reading,
C4,Abstract,Business discontinuation concentrates almost entirely in one cell - industry-sponsored therapeutics at 66% (95/144) - against 23-26% in the other three cells.,"Reproduced exactly: 95/144 = 66.0%, 43/184 = 23.4%, 21/81 = 25.9%, 83/375 = 22.1%. The four Fisher tests reproduce to three significant figures (OR 5.54 p = 5.7e-9; 6.36 p = 5.2e-15; 1.07 p = 0.41; 1.23 p = 0.27). This is the paper's strongest number and it holds. The 'three cells within four percentage points' statement also verifies (spread 3.8 pp), and Figure 1a renders the table correctly and legibly.",defensible with stated caveat,"The stated floor is wrong: the lowest cell is 22.1%, not 23%. Trivial, but it is the abstract of a paper that promises every number traces to a column. Second, 'almost entirely' overstates - the cell holds 95 of 242 business halts (39%), not almost all of them.",this is why they are reading,"Write '22-26%'. Replace 'almost entirely in one cell' with 'is confined to one cell': the concentration claim is about the rate, not about where the business halts live. Add the sentence '39% of all business-cited halts occur in this cell, which holds 18% of the halted set.'"
C5,Abstract,Neither modality nor sponsor class alone predicts business discontinuation; the effect exists only where both are present.,"The two null cells are real at trial level. But I collapsed the data to one row per sponsor per cell (the unit the paper's own portfolio-decision mechanism implies) and the non-industry modality effect appears: OR 1.72, p = 0.029 (33/82 therapeutic vs 66/235 diagnostic). The interaction survives strongly (industry OR 6.10 vs non-industry OR 1.72) but the strict null does not.",overreach - needs new evidence,The claim 'no modality effect at all' is an artefact of counting trials rather than sponsors. A referee running the obvious cluster fix - which Limitation 3(ii) admits was never run - finds a significant modality effect among non-industry sponsors. The paper's cleanest rhetorical move is the one most sensitive to unit of analysis.,this is why they are reading,Run the sponsor-collapsed analysis and report both bases in Section 2.1. Reframe from 'absent among non-industry sponsors' to 'three to six times larger among industry sponsors'. The interaction is what you need and it holds on both bases; the absolute null is not worth defending and you will lose it in review.
C6,Abstract,"AAV gene transfer, the earliest therapeutic modality to reach pivotal trials, has 18 of 25 halted trials citing business and 2 citing science, with 32 Phase 3 or later programs since 2003.","18/25 and 2 verify on the 817 pre-deduplication basis. On the 784 basis used for the abstract's own headline table the same platform is 18/24 with 1 science halt. The '32 Phase 3 or later' is n_ph3plus from the master table - raw trial count, not programs; the assay-flagged equivalent is 14, and there are 24 distinct Phase 3+ sponsors.",overreach - fixable by rewording,"The abstract mixes two analysis bases in adjacent sentences without flagging it - a reader checking AAV in halted_trials_dedup.csv finds 24 and 1, not 25 and 2. And '32 programs' is 32 trials, which Limitation 6 concedes.",useful,"Use the 784 basis throughout the abstract (18/24, 1 science) and say '32 Phase 3 or later trials'. Keep 25/2 in Section 2.3 where the 817 basis is declared."
C7,Abstract / 1. Introduction,"Only 9 of 5,601 AI/ML trials (0.2%) address molecular or drug discovery, against 46% for imaging and pathology.","Exact from ai_trials_by_application.csv: 2,581/5,601 = 46.1% imaging/pathology; 9 = 0.2% molecular/drug discovery.",solid,"That 5,601 is a keyword-reference count, not a count of AI-driven trials, so the denominator mixes trials where AI is the intervention with trials that mention it in passing. The ratio is probably robust to that, and the figure is labelled as an attention measure.",useful,"Say 'trials referencing AI/ML in the protocol' rather than 'AI trials' at first mention, as Figure S1 already does."
C8,1. Introduction,"The binding constraint in molecular precision medicine is no longer whether the biology works, but that these technologies create value in a shape that neither health-system budgets nor capital markets are built to price.","This is the paper's thesis. Nothing in the registry measures budgets or capital markets: zero of 784 verbatim reasons name a payer, price, reimbursement, coverage, formulary or HTA term - I re-ran the search with a wider term list than the paper's and confirmed zero. The pricing half rests entirely on six curated trade-press rows (Section 2.6).",defensible with stated caveat,"A hostile reader objects that the thesis names a mechanism (pricing) the data cannot see, and that 'capital markets are not built to price it' is an economic claim made without a single financing observation - which the paper itself concedes two paragraphs later.",this is why they are reading,"Split the thesis into the two claims you actually have: (a) among halted trials, commercial sponsors' portfolio decisions dominate stated causes in therapeutics - measured; (b) the mechanism is a payment mismatch - argued from six post-approval cases. You already do this in Section 4.1; do it in the Introduction too, where the reader forms their prior."
C9,2.1,"The pooled therapeutic-versus-diagnostic comparison (42.1% vs 22.8%, OR 2.46) is a composition artefact of the interaction and should not be read as a modality mechanism.","Reproduced exactly (138/328 vs 104/456, OR 2.458, p = 7.4e-9). Explicitly demoting your own previously headline result is the right call and rare.",solid,,useful,
C10,2.1,"Not one of the 784 verbatim reason strings mentions a payer, price, reimbursement decision, coverage, formulary or health technology assessment.","I re-ran this independently with a broader pattern (adding copay, CMS, NICE, tariff, cost-effectiveness, willingness-to-pay) and confirmed zero hits. The paper is right, and stating it in the results rather than the limitations is the single most credible thing in the manuscript.",solid,,this is why they are reading,
C11,2.1,"Restricting the business category to strings that name any financial cause reduces it from 242 to 159, giving a ratio of 4.0 to 1 (and 1.6 to 1 with the manufacturing adjustment).","I could not reproduce 159 from any transparent term list. A strict money-word list (fund, financ, budget, cost, capital, invest, econom, resourc) gives 75-79 of 242. Adding business/commercial/strategic/portfolio/prioritisation gives 139. A wide list including 'sponsor' gives 194. 159 sits between two lists neither of which is 'names a financial cause'. Under the strict reading the restricted ratio is 1.9, and with the manufacturing/regulatory adjustment it is 0.8 - i.e. scientific causes would outnumber named-financial ones.",not defensible,"This is the one number I could not verify, and it bounds the paper's central quantitative claim. A referee who tries the obvious reconstruction gets a lower bound of ~0.8-2.0 rather than 1.6, which crosses the point where the headline direction survives. The paper promises on its title page that every number traces to a published column; this one does not.",this is why they are reading,"Publish the term list as a column in halted_trials_blockers.csv (a boolean names_financial_cause), or drop the 159 and report the range as computed from published columns only. If the strict figure really is 75-79, say so - the honest range becomes 0.8 to 6.1, and the correct conclusion is that the ratio is not the result; the interaction is. Also fix 242/97 = 2.49, printed as '2.4'."
C12,2.1 / 5 (3b),"The reason field observes only 30.6% of concluded Phase 2+ trials (534 completed vs 235 halted), structurally excluding completed-but-failed trials.","The arithmetic reproduces only if 'Phase 2+' includes PHASE1|PHASE2 records and is computed on the non-deduplicated 14,061-row basis. On a strict Phase 2+ definition (PHASE2, PHASE2|PHASE3, PHASE3, PHASE4) the counts are 418 completed and 138 halted - the field observes 24.8%, not 30.6%. On the deduplicated unique-registration basis it is 24.7%.",overreach - fixable by rewording,"The number is mislabelled twice - Phase 1/2 trials counted as 'Phase 2+', and the row basis used where the rest of Section 2.1 uses the deduplicated basis. It happens to cut against the paper: the true censoring is worse than stated.",this is why they are reading,"Report 24.8% on a strict, deduplicated Phase 2+ basis, and keep 30.6% only as a sensitivity ('30.6% if Phase 1/2 combined designs are included'). This strengthens the limitation, so there is no cost to fixing it."
C13,2.1,"The business:science ratio ranges from 1.6 to 6.1 across defensible category boundaries; the direction is robust, the magnitude is not.","The 6.1 endpoint reproduces (242/40 = 6.05) and the manufacturing-adjusted 2.49 nearly does. The 1.6 floor depends on the unreproducible 159. Reporting a range instead of a point estimate is the correct instinct, and the paper's admission that the manufacturing assignment contradicts Section 4.5 is the kind of self-audit that buys credibility. The accompanying caveat - that sponsors have a disclosure incentive to call a stop strategic, so business is an upper bound and science a lower bound - is supported by the verbatim strings, several of which volunteer 'not due to safety concerns'.",defensible with stated caveat,"The floor is unverifiable (see C12), and the Conclusion then quotes the ceiling as if it were the estimate.",this is why they are reading,Keep the range; make the floor reproducible; and enforce the range in the Conclusion and abstract - the paper cannot report a range in Section 2.1 and 'roughly six times' in Section 6. Also count how many of the 242 strings explicitly deny a safety cause; that turns the upper-bound caveat from rhetoric into a number.
C14,2.2,"Funding and business decisions outnumber safety and efficacy failures in all four registry-derived families, but recruitment is the single largest blocker in three of the four.","Both halves verified exactly on the 817 basis: business > science in all four (141/27, 41/6, 32/6, 37/4) and recruitment leads in proteomics 77/182, precision medicine 51/156, clinical AI 48/139. The basis switch to 817 is declared in the text. The adjacent claim that AAV's zero recruitment-cited halts contradict the small-market intuition also checks out and is stronger than stated: 0 of 24 against a 17.7% therapeutic base rate is binomial p = 0.009, a test the paper asserts but does not run.",solid,"The second half of this sentence contradicts the paper's title, and the paper does not acknowledge the tension. That is a self-inflicted wound: the honest reading is in the body and the overreach is on the cover.",this is why they are reading,"Keep the sentence exactly as it is and fix the title (C1) to match it. And add the binomial to the AAV recruitment sentence ('zero of 24, against 4.2 expected, p = 0.009') so 'contradicted' is earned rather than asserted."
