id,date,topic,statement,evidence,source,status,confidence,used_in,notes
F001,2026-09-04,07_companion_methods_paper,Business-cited halt share among INTERVENTIONAL trials only: industry therapeutics 90/137 = 65.7%; industry diagnostics 9/41 = 22.0%; non-industry diagnostics 45/215 = 20.9%; non-industry therapeutics 41/175 = 23.4%. Study type is not the confounder.,research/findings/recompute_2026-09-04.py on data/primary/halted_trials_dedup.csv joined to trial_records.csv study_type,bundle,verified-from-data,high,plan section 1; pitch response,"Observational-only cells: 12/40, 38/160, 5/7, 2/9."
F002,2026-09-04,07_companion_methods_paper,"Industry-therapeutic halted cell (n=144) is 97 CAR-T, 21 AAV, 13 lentiviral, 11 CRISPR, 2 in vivo LNP. Business-cited: CAR-T 66/97, AAV 17/21, lentiviral 4/13, CRISPR 7/11, LNP 1/2.",recompute_2026-09-04.py,bundle,verified-from-data,high,plan section 1,
F003,2026-09-04,07_companion_methods_paper,"Business-cited share by trial start year (<=2018, 2019-21, 2022+): industry CAR-T 6/17=35.3%, 16/29=55.2%, 44/51=86.3%; industry non-CAR-T therapeutics 12/16, 10/17, 7/14; industry diagnostics 5/32, 5/21, 11/27; non-industry therapeutics 11/53, 11/40, 21/91. Forty-four of the cell's 95 business halts are CAR-T trials started 2022 or later.",recompute_2026-09-04.py,bundle,verified-from-data,high for CAR-T; medium for gene therapy rows (n<20 per column),plan section 1,"Start year, not halt year. Halt dates are not in trial_records.csv; see topic 01 tasks."
F004,2026-09-04,07_companion_methods_paper,"Of 95 industry-therapeutic business halts, 9 name a financial cause and 11 explicitly deny a safety cause; 64 distinct sponsors; Guangzhou Bio-gene contributes 9. One of the bare strings is MYDICAR, a documented efficacy failure.",recompute_2026-09-04.py; names_financial_cause and denies_safety_cause flags,bundle,verified-from-data,high,D004,
F005,2026-09-04,07_companion_methods_paper,"The AI/ML subfamily contributes 39 of 81 industry-diagnostic halts and 100 of 375 non-industry diagnostic halts. Modality is constant within subfamily, so the AI/ML subset can never populate the therapeutic row and is already inside the control cell.",recompute_2026-09-04.py,bundle,verified-from-data,high,D003,
F006,2026-09-04,07_companion_methods_paper,Chinese-named sponsors are not the driver of the industry-therapeutic business share: 20/29 = 69.0% versus 75/115 = 65.2% for other sponsors.,recompute_2026-09-04.py; crude name regex,bundle,verified-from-data,medium: regex on sponsor name only,plan section 1,
F007,2026-09-04,07_companion_methods_paper,"JNCI 2026 phase 1 solid-tumour analysis: 1,740 trials initiated 2018-2023; 702 (40.3%) terminated early; sponsor decision or strategic reasons 51.1% of terminations, poor accrual 14.7%; in phase 2-3 trials accrual 35.5% and sponsor decisions 29.4%; industry funded 71.2% of terminated versus 65.9% of completed trials; academic funding OR 0.50 for discontinuation, P<.001; strategic share 52.1% versus 50.4% for terminations within 24 months versus 24-60 months.",Article page fetched 2026-09-04,S01,verified-from-source,high,plan section 1; comparator design,Reasons not stratified by sponsor in the extract; F008 derives the industry-only figure.
F008,2026-09-04,07_companion_methods_paper,"Implied industry-only strategic share in F007 is about 60%: (0.511 - 0.288 x 0.25) / 0.712 = 0.617, assuming academic terminations cite strategic reasons at about 25%, the rate seen in this bundle's non-industry cells.",arithmetic on F007 and F001,S01,derived,medium: assumption stated,plan section 1,Replace with the stratified figure if the article supplementary gives it.
F009,2026-09-04,07_companion_methods_paper,"Zhang 2023 Cancer Medicine: 8,687 interventional oncology trials 2007-09-27 to 2015-06-30; 22.74% (1,975) terminated; reasons: other or unknown 36.9%, accrual 34.5%, lack of efficacy 7.4%, toxicity 4.6%, early efficacy 1.7%; industry-funded terminated trials 15.7% accrual-related versus government 32.6%, other 46.7%, multiple 42.8%; phase 2 versus phase 1 accrual termination OR 1.58.",Article fetched 2026-09-04,S03,verified-from-source,high,comparator design,Industry accrual share matches this bundle's 10.4% recruitment share in the industry-therapeutic cell.
F010,2026-09-04,07_companion_methods_paper,Buergy 2021 Int J Cancer: business reasons 14.7% of industry-sponsored versus 5.8% of non-industry terminated cancer trials; lack of efficacy or toxicity 32.5% versus 9.1%; reason undisclosed for 70.2% of academic versus 28.9% of company-sponsored terminations.,Search snippet only; article page returned 403,S04,provisional-from-snippet,medium,disclosure-norm argument,Read the article before citing.
F011,2026-09-04,04_investment,"The six post-approval retreat cases are four haemophilia products (Beqvez, giroctocogene fitelparvovec, Roctavian, Hemgenix) plus Zynteglo and Skysona. Only Zynteglo in Germany is a documented price-negotiation failure; the haemophilia cases have a competition and durability-hesitancy rival explanation.",data/derived/commercial_retreat_cases.csv,bundle,verified-from-data,high for the file contents; the rival explanation is interpretation,plan section 1; topic 04,
F012,2026-09-04,02_access_stage,"Median time to national reimbursement recommendation for advanced therapies across eight European countries is 9 to 17 months, mostly with managed entry agreements and uncertainty about added value.",Search snippet,S07,provisional-from-snippet,medium,prior-work table,Read S07 and S08 in month 1; extract per-product dates.
F013,2026-09-04,03_uptake_stage,"EBMT: 4,888 patients received CAR-T at European centres in 2023, up 52.5% on 2022; the EBMT registry held more than 9,000 CAR-T patients by 2024.",Search snippet,S12; S13,provisional-from-snippet,medium,cross-country design,Confirm country breakdown is in the activity-survey tables.
F014,2026-09-04,03_uptake_stage,Consultancy notes: Hemgenix used in fewer than 20 patients through August 2024; fewer than 40 Lyfgenia and about 80 Zynteglo patients treated; Luxturna treated nearly all of its eligible population; Lyfgenia reached first patient twice as fast as Zynteglo with six times as many centres activated in the first quarter.,Search snippet,S18,provisional-from-snippet,low-medium: secondary source,calibration candidates for revenue-to-patients,Use as calibration targets only after tracing each number to a company disclosure.
F015,2026-09-04,05_projection,"Prior demand projections exist: US projections of durable CGT approvals, patients treated and revenues (Drug Discovery Today 2021); France 2023-2030 projection of up to 44 launches and more than 69,400 newly treated patients in 2030; a NEWDIGS estimate that the treatable population peaks 2031-2032 at 105,000+ patients per year.",Search snippets,S16; S17; S20,provisional-from-snippet,medium,"figure 6, forecast against record",Extract the year-by-year projected series from S16 in month 1.
F016,2026-09-04,03_uptake_stage,"FDA approved cellular and gene therapy products page, dated 18 August 2026, lists 53 entries. Seven are absent from the seed cohort: Tregzi (Orca), Genglycos (Ultragenyx), Itvisma (Novartis), Kresladi (Rocket), Otarmeni (Regeneron), Tudriqev (Replimune), Waskyra (Fondazione Telethon). The list page carries no approval dates.",Page fetched 2026-09-04,S22,verified-from-source,high for membership; dates unverified,data/cohort/product_cohort.csv,"Cord-blood, tissue and non-genetic cell products are on the same list and are flagged, not dropped."
F017,2026-09-04,01_clinical_stage,A Nature Reviews Drug Discovery 2025 analysis reports clinical development success rates for durable cell and gene therapies. Numbers not yet extracted.,Search result,S06,provisional-from-snippet,,figure 1 benchmark,Extract phase transition probabilities and durations in week 1.
