product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Lenmeldy,list_price,2022-05-12,Germany,2475000,EUR per treatment (negotiated reimbursed price),"reimbursed access to Libmeldy for all eligible children with MLD in Germany at a negotiated price of EUR 2.475 million","Orchard Therapeutics 8-K Ex-99.1, First Quarter 2022 Financial Results and Recent Commercial Progress (2022-05-12)",https://www.sec.gov/Archives/edgar/data/1748907/000156459022019670/ortx-ex991_18.htm,verified-from-source,"Company statement; negotiated German price (not list). Euro symbol in source rendered as EUR here. Consistent with $5.1M for two patients in Q1 2022."
Lenmeldy,list_price,2024-03-18,US,,USD per treatment (WAC),"","Kyowa Kirin news release URL for the 2024-03-18 Lenmeldy FDA approval (guessed path, HTTP 404 on 2026-09-04)",https://www.kyowakirin.com/media_center/news_releases/2024/e20240319_01.html,gap,"US Lenmeldy WAC not found: Kyowa Kirin news-release URL guess returned 404, Kyowa Kirin Kessan Tanshin documents give no price, drugs.com blocked, WebSearch quota exhausted. Trade press at approval widely reported a WAC of $4.25 million - UNVERIFIED here."
Lenmeldy,list_price,2022-03-01,England (NHS),,GBP per treatment (list),"","NICE HST18 atidarsagene autotemcel, chapter 2 Information about (fetch attempted 2026-09-04, HTTP 403)",https://www.nice.org.uk/guidance/hst18/chapter/2-Information-about-atidarsagene-autotemcel,gap,"NICE HST18 chapter 2 returned HTTP 403; GBP list price not captured."
Lenmeldy,patients_period,2022-03-31,Europe,2,commercial patients treated in Q1 2022,"MLD patients from Europe and the Middle East have now received commercial treatment with Libmeldy, including two patients who were treated in the first quarter of 2022.","Orchard Therapeutics 8-K Ex-99.1, First Quarter 2022 Financial Results and Recent Commercial Progress (2022-05-12)",https://www.sec.gov/Archives/edgar/data/1748907/000156459022019670/ortx-ex991_18.htm,verified-from-source,"First two commercial patients; $5.059M booked => ~$2.5M each. Sentence implies at least one further commercial patient (Middle East) outside the Q1 2022 count, possibly pre-2022 named-patient supply."
Lenmeldy,statement,2022-05-12,Europe,,reimbursement,"Orchard has secured agreements with three major European markets in 2022 to gain access and reimbursement for Libmeldy","Orchard Therapeutics 8-K Ex-99.1, First Quarter 2022 Financial Results and Recent Commercial Progress (2022-05-12)",https://www.sec.gov/Archives/edgar/data/1748907/000156459022019670/ortx-ex991_18.htm,verified-from-source,"Germany, Italy and the UK per the Q2 2022 release."
Lenmeldy,statement,2022-08-04,Europe,,patient outlook / centres,"Orchard expects the number of patients treated with Libmeldy in a commercial setting to increase in the second half of 2022 compared to the first half of the year. ... The company also plans to enlarge its network of treatment centers by qualifying centers to administer Libmeldy in Sweden and Spain, in addition to existing centers in the UK, Netherlands, Germany, Italy and France.","Orchard Therapeutics 8-K Ex-99.1, Second Quarter 2022 Financial Results (2022-08-04)",https://www.sec.gov/Archives/edgar/data/1748907/000095017022014462/ortx-ex99_1.htm,verified-from-source,"Qualified treatment centres existed in five countries by mid-2022 (count of centres not given)."
Lenmeldy,statement,2022-11-14,France,,early access,"Orchard has secured the renewal of the French early access program ... the company would receive revenue for any eligible patient treated within the country.","Orchard Therapeutics 8-K Ex-99.1, Third Quarter 2022 Financial Results (2022-11-14)",https://www.sec.gov/Archives/edgar/data/1748907/000119312522283656/d367331dex991.htm,verified-from-source,""
Lenmeldy,statement,2023-03-06,Europe,,reimbursement / centres,"In February 2023, Orchard Therapeutics reached an agreement with the New Therapies (NT) Council ... establish qualified treatment centers in Sweden, Spain and Saudi Arabia","Orchard Therapeutics 8-K Ex-99.1, Business Update and 2022 Financial Results (2023-03-06)",https://www.sec.gov/Archives/edgar/data/1748907/000095017023006091/ortx-ex99_1.htm,verified-from-source,"Sweden access agreement; also notes newborn-screening-identified patients being referred."
Lenmeldy,patients_period,2023-05-15,Europe,4,patients treated or undergoing treatment in 2023 to date,"Four patients have either received treatment or are currently undergoing treatment with Libmeldy so far in 2023, including the first patient identified via an MLD newborn screening study.","Orchard Therapeutics 8-K Ex-99.1, First Quarter 2023 Financial Results (2023-05-15)",https://www.sec.gov/Archives/edgar/data/1748907/000095017023021956/ortx-ex99_1.htm,verified-from-source,"Includes patients in the manufacturing/conditioning pipeline; only $0.534M booked in Q1 2023, so most of these were recognised in Q2 2023 ($6.651M)."
Lenmeldy,statement,2023-05-15,Europe,,reimbursement,"secured reimbursement agreements for Libmeldy in three new markets so far in 2023","Orchard Therapeutics 8-K Ex-99.1, First Quarter 2023 Financial Results (2023-05-15)",https://www.sec.gov/Archives/edgar/data/1748907/000095017023021956/ortx-ex99_1.htm,verified-from-source,"Finland, Iceland and Sweden named."
