idx,why,category
3,A decision has been made to prioritize other pipeline programs and terminate this study.,"Funding, business or strategic decision"
6,"After completion of Phase 1 Dose Escalation of this study the sponsor decided not to proceed with Phase 2a due to strategic reasons. Thus, no participants were enrolled for Phase 2a and the study was terminated early.","Funding, business or strategic decision"
9,Amgen made a business decision to discontinue AMG 160 20180273,"Funding, business or strategic decision"
12,Based on the adjustment of clinical research and development strategy，sponsor decided to terminate the study,"Funding, business or strategic decision"
15,Business Decision: No Safety or Efficacy Concerns,"Funding, business or strategic decision"
18,Business decision to discontinue the study based on strategic prioritization.,"Funding, business or strategic decision"
21,Business priorities,"Funding, business or strategic decision"
24,Business reasons (not safety related),"Funding, business or strategic decision"
27,Cancelled by Sponsor,"Funding, business or strategic decision"
30,Change in clinical strategy,"Funding, business or strategic decision"
33,Company Decision,"Funding, business or strategic decision"
36,Company operational decision. Decision to stop study is not due to safety or efficacy concerns.,"Funding, business or strategic decision"
39,Company's decision,"Funding, business or strategic decision"
42,Corporate Decision,"Funding, business or strategic decision"
45,DLBCL and FL cohorts met the pre-specified futility criteria and will not proceed. The MCL cohort was terminated due to slow recruitment and aggressive disease.,Efficacy failure or futility
48,Decision to obtain PK data at a later date,"Funding, business or strategic decision"
51,"Despite robust, sustained reductions in poly(GP), no clinical benefit was seen at 24 weeks, and reductions in poly(GP) were not associated with stabilization in functional outcomes. Based on these data, Wave decided to stop development of WVE-004.",Efficacy failure or futility
54,Development project was discontinued,"Funding, business or strategic decision"
57,"Discontinuation based on a strategic sponsor decision, not driven by safety concerns.","Funding, business or strategic decision"
60,Due to a strategic business decision Kura has stopped development of KO-947. Neither safety nor efficacy reasons were the cause of study termination.,"Funding, business or strategic decision"
63,Due to new preclinical findings in a chronic toxicology study.,Safety or toxicity
66,"Due to the COVID-19 epidemic situation, the sponsor has decided to terminate the project.",COVID-19 disruption
69,"Due to the company's development strategy adjustment, Innovent Biologics has decided not to continue this study after consultation with investigators.","Funding, business or strategic decision"
72,"Efficacy endpoint met; however, overall experimental dosing regimen is not considered optimal to support further clinical development in this patient population","Funding, business or strategic decision"
75,Emerging SARS-CoV-2 variants impacting susceptibility to study drug,Efficacy failure or futility
78,Enrollment paused,Unclear
81,"Following Completion of dose escalation, the study has been discontinued as part of the Company's strategic priorization of its pipeline.","Funding, business or strategic decision"
84,"Following recommendation by SOLAR Study IDMC, Astellas closed enrollment in ASP8273 studies.",Unclear
87,Funding,"Funding, business or strategic decision"
90,Genmab has decided to terminate the GEN1286 program due to an unfavorable benefit-risk profile not supporting further development.,Safety or toxicity
93,Impacted by viraemia resulting in higher than expected admissions,Safety or toxicity
96,Insufficient Patient Recruitment Rates,Recruitment or feasibility failure
99,Janssen made the strategic decision to discontinue the CROCuS study. This decision is not based on any safety concerns.,"Funding, business or strategic decision"
102,Lack of efficacy,Efficacy failure or futility
105,Lack of recruitment and sponsor's priority changes,Recruitment or feasibility failure
108,Little evidence of clinical activity in tumor types enrolled,Efficacy failure or futility
111,Major challenge for enrollment of participants.,Recruitment or feasibility failure
114,No participants were enrolled in Phase 2 as Phase I was terminated early due to the lack of a clear signal of robust clinical activity.,Efficacy failure or futility
