product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Lyfgenia,list_price,2023-12-08,US,3100000,USD per treatment,$3.1M price tied to value,"bluebird bio 8-K Ex-99.1, LYFGENIA FDA approval investor presentation (2023-12-08, filed 2023-12-11)",https://www.sec.gov/Archives/edgar/data/1293971/000119312523292087/d84993dex991.htm,verified-from-source,Company investor slides on approval day; WAC of the drug product only. Slides also state: Outcomes-based agreement offerings; Meaningful risk sharing Tied to VOE related hospitalizations Patients followed for 3 years.
Lyfgenia,centres,2023-12-08,US,27,qualified treatment centres ready for SCD referrals,27 QTCs are ready to receive SCD patient referrals now,"bluebird bio 8-K Ex-99.1, LYFGENIA FDA approval investor presentation (2023-12-08, filed 2023-12-11)",https://www.sec.gov/Archives/edgar/data/1293971/000119312523292087/d84993dex991.htm,verified-from-source,Slides: Anticipate ZYNTEGLO network will be fully activated for LYFGENIA by end of Q1 2024; manufacturing 70-105 days.
Lyfgenia,centres,2024-01-05,US,35,qualified treatment centres ready for LYFGENIA referrals,35 of 48 centers ready to receive referrals for LYFGENIA for sickle cell disease,"bluebird bio 8-K Ex-99.1, bluebird bio Provides Update on Commercial Launch Progress, Program Milestones, and 2024 Financial Outlook (2024-01-08)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,verified-from-source,
Lyfgenia,statement,2024-01-08,US,200,million US covered lives under outcomes-based agreements,bluebird has signed outcomes-based agreements for LYFGENIA with national payer organizations representing approximately 200 million U.S. lives.,"bluebird bio 8-K Ex-99.1, bluebird bio Provides Update on Commercial Launch Progress, Program Milestones, and 2024 Financial Outlook (2024-01-08)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,verified-from-source,Release also: bluebird anticipates the first patient start for LYFGENIA in Q1 2024.
Lyfgenia,statement,2024-03-26,US,,,First government outcomes-based agreement for sickle cell disease signed with Michigan Medicaid,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Fourth Quarter and 2023 Annual Results and Highlights Operational Progress and 2024 Guidance (2024-03-26)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,verified-from-source,Release: Discussions ongoing with 15+ Medicaid agencies representing 80% of Medicaid-insured individuals with SCD; four outcomes-based agreements for LYFGENIA with national commercial payer organizations.
Lyfgenia,centres,2024-03-26,US,49,qualified treatment centres receiving LYFGENIA referrals,49 centers are already receiving referrals for LYFGENIA,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Fourth Quarter and 2023 Annual Results and Highlights Operational Progress and 2024 Guidance (2024-03-26)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,verified-from-source,
Lyfgenia,statement,2024-03-26,US,,,"Based on projected timelines from cell collection to infusion, the Company expects to recognize revenue from its first infusion of LYFGENIA in Q3 2024","bluebird bio 8-K Ex-99.1, bluebird bio Reports Fourth Quarter and 2023 Annual Results and Highlights Operational Progress and 2024 Guidance (2024-03-26)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,verified-from-source,Release: First LYFGENIA patient start imminent; multiple patients enrolled.
Lyfgenia,patients_period,2024-05-09,US,1,patient starts in 2024 to date,First LYFGENIA patient start completed in May 2024,"bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000020/exhibit99120240509.htm,verified-from-source,"Release headline: 15 patient starts to date in 2024 (11 ZYNTEGLO, 3 SKYSONA, 1 LYFGENIA)."
Lyfgenia,patients_period,2024-08-14,US,4,patient starts in 2024 to date,"27 patient starts to date in 2024 (19 ZYNTEGLO, 4 LYFGENIA, 4 SKYSONA)","bluebird bio 8-K Ex-99.1, bluebird bio Reports Second Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-08-14)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000024/exhibit99120240813.htm,verified-from-source,Release: Successfully completed manufacturing and release testing for first commercial LYFGENIA patient; first infusion is being scheduled; revenue from first infusion anticipated in Q3 or Q4 2024. More than half of Medicaid-insured individuals with sickle cell disease in the U.S. live in a state that has affirmed coverage.
Lyfgenia,patients_infused,2024-09-30,US,1,patients infused (cumulative floor),"Revenue for the third quarter includes revenue from LYFGENIA, following the completion of the first infusion for sickle cell disease.","bluebird bio 8-K Ex-99.1, bluebird bio Reports Third Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-11-14)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,verified-from-source,Q3 2024 LYFGENIA revenue $2.632M; first commercial infusion. Floor of 1.
