product,geography,event_date,event_type,indication_key,indication_text,pathway,source_doc,source_url,fetched_date,status,notes
Carvykti,US,2022-02-28,initial,MM_5L,"Ciltacabtagene autoleucel is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 monoclonal antibody.",standard,"FDA BLA approval letter STN BL 125746/0, 28 Feb 2022",https://www.fda.gov/media/156572/download,2026-09-05,verified-from-source,Janssen Biotech; CARTITUDE-1 basis. Letter quoted verbatim.
Carvykti,US,2024-04-05,extension,MM_2L,"CARVYKTI is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma, who have received at least 1 prior line of therapy, including a proteasome inhibitor and an immunomodulatory agent, and are refractory to lenalidomide.",standard,"FDA supplement approval letter STN BL 125746/74, 5 Apr 2024; wording from current USPI Section 1 (revised 10/2025)",https://www.fda.gov/media/177564/download,2026-09-05,verified-from-source,Letter text: 'to extend the indication based on the results of the CARTITUDE-4 clinical trial (NCT04181827)'. Single-indication label replaces the 4+ prior lines wording. USPI: https://www.fda.gov/media/156560/download
Abecma,US,2021-03-26,initial,MM_5L,"idecabtagene vicleucel, which is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.",standard,"FDA BLA approval letter STN BL 125736/0, 26 Mar 2021",https://www.fda.gov/media/147062/download,2026-09-05,verified-from-source,Celgene/BMS; KarMMa basis.
Abecma,US,2024-04-04,extension,MM_3L,"ABECMA is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.",standard,"FDA supplement approval letter STN BL 125736/218, 4 Apr 2024; wording identical in current USPI Section 1 (revised 11/2025)",https://www.fda.gov/media/177545/download,2026-09-05,verified-from-source,KarMMa-3 basis. Letter: 'to include an indication for the treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy...'. USPI: https://www.fda.gov/media/147055/download
Yescarta,US,2017-10-18,initial,LBCL_3L,"indicated for the treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high grade B-cell lymphoma, and DLBCL arising from follicular lymphoma. Axicabtagene ciloleucel is not indicated for the treatment of patients with primary central nervous system lymphoma.",standard,"FDA BLA approval letter STN BL 125643/0, 18 Oct 2017",https://www.fda.gov/media/108458/download,2026-09-05,verified-from-source,Kite Pharma; ZUMA-1 basis.
Yescarta,US,2021-03-05,extension,FL_3L,"to include a new indication for adult patients with relapsed or refractory follicular lymphoma after two or more lines of systemic therapy, according to the regulations for accelerated approval [21 CFR 601.41]",accelerated,FDA replacement supplement approval letter STN BL 125643/248 dated 2 Apr 2021 (states effective approval date remains 5 Mar 2021),https://www.fda.gov/media/148510/download,2026-09-05,verified-from-source,Original 5 Mar 2021 letter not posted separately; the 2 Apr 2021 replacement letter is the FDA source. Current USPI 1.2: 'YESCARTA is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.' Still accelerated approval as of USPI revised 6/2026. ZUMA-5.
Yescarta,US,2022-04-01,extension,LBCL_2L,to add a new indication for the treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Axicabtagene ciloleucel is not indicated for the treatment of patients with primary central nervous system lymphoma.,standard,"FDA supplement approval letter STN BL 125643/394, 1 Apr 2022",https://www.fda.gov/media/157539/download,2026-09-05,verified-from-source,ZUMA-7 basis. USPI 1.1 bullet: 'Adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy.'
Yescarta,US,2026-02-05,extension,LBCL_PCNSL_LoU_removed,Section 1 (Indication and Usage) removes the Limitations of Use for Primary Central Nervous System Lymphoma (PCNSL),standard,"FDA supplement approval letter STN BL 125643/753, 5 Feb 2026",https://www.fda.gov/media/191091/download,2026-09-05,verified-from-source,Coined key: removal of the PCNSL exclusion widens the eligible LBCL population; not a new indication sentence. Based on NCT04608487. USPI revised 6/2026 Section 1 carries no PCNSL limitation. Confirm treatment as extension vs label-only change.
Breyanzi,US,2021-02-05,initial,LBCL_3L,"indicated for the treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B. Lisocabtagene maraleucel is not indicated for the treatment of patients with primary central nervous system (CNS) lymphoma.",standard,"FDA BLA approval letter STN BL 125714/0, 5 Feb 2021",https://www.fda.gov/media/145712/download,2026-09-05,verified-from-source,Juno Therapeutics/BMS; TRANSCEND NHL 001 basis.
Breyanzi,US,2022-06-24,extension,LBCL_2L,"to support two new indications for the treatment of adult patients with large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B, who have: refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age. Limitations of Use: Lisocabtagene maraleucel is not indicated for the treatment of patients with primary central nervous system lymphoma.",standard,"FDA supplement approval letter STN BL 125714/90, 24 Jun 2022",https://www.fda.gov/media/159473/download,2026-09-05,verified-from-source,TRANSFORM and PILOT basis. Broader than Yescarta 2L: includes transplant-ineligible relapse at any time after first line.
