task,product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
A,Hemgenix,stockout_event,2026-03-17,Global,,,CSL is currently experiencing a temporary global stockout of HEMGENIX® that will result in delays in treatment for some individuals in countries with established commercial access.,"CSL newsroom, 'Our Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Availability', 17 Mar 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-03-17-Our-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Availability,verified-from-source,"PRIMARY CSL statement for the stockout. Page body carries no date line; date is from the newsroom URL slug and is corroborated by HFA (page dated 17 Mar 2026) and NBDF (18 Mar 2026, 'announced March 17, 2026'). No resumption date is given in this statement."
A,Hemgenix,statement,2026-03-17,Global,,stockout cause,"this situation is not related to the safety or effectiveness of HEMGENIX® ... the complexity of manufacturing gene therapies, and our commitment to adhering to the highest regulatory and quality standards","CSL newsroom, 'Our Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Availability', 17 Mar 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-03-17-Our-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Availability,verified-from-source,"Stated cause: manufacturing complexity and adherence to regulatory/quality standards. CSL does not name a vial, batch, quality-defect or demand cause and gives no resumption date. Two fragments joined with an ellipsis."
A,Hemgenix,stockout_event,2026-04,Global,,,"Since reestablishing limited supply in April 2026, HEMGENIX has been delivered to support treatment for 22 people living with hemophilia B in commercial and clinical trial settings.","CSL newsroom, 'Our Continued Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Supply and Patient Access', 24 Jul 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,verified-from-source,"PRIMARY CSL statement that limited supply resumed in April 2026. Page body carries no date line; 24 Jul 2026 is from the newsroom URL slug (search index also dates it 24 Jul 2026). HFA and NBDF reposted it on 28 Jul 2026, the date used in hemgenix_disclosures.csv."
A,Hemgenix,patients_period,2026-07-24,Global,22,patients (commercial and clinical trial) since April 2026,"Since reestablishing limited supply in April 2026, HEMGENIX has been delivered to support treatment for 22 people living with hemophilia B in commercial and clinical trial settings.","CSL newsroom, 'Our Continued Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Supply and Patient Access', 24 Jul 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,verified-from-source,Agrees with the 22 already recorded from the HFA repost. Mixes commercial and trial patients; includes the first commercial patient in Canada and one adolescent trial patient.
A,Hemgenix,patients_cumulative,2026-07-24,Global,100,"patients (more than), commercial only, since approval","More than 100 people with hemophilia B have now received commercial treatment with HEMGENIX globally since approval, underscoring the continued progress being made in expanding access.","CSL newsroom, 'Our Continued Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Supply and Patient Access', 24 Jul 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,verified-from-source,"Agrees with the >100 already recorded from the HFA repost; this is the CSL-hosted primary. No exact count, no US/ex-US split."
A,Hemgenix,statement,2026-07-24,Global,,,"In March, we shared an update regarding HEMGENIX® (etranacogene dezaparvovec-drlb) availability and our efforts to support people living with hemophilia B while maintaining the highest quality standards for this one-time gene therapy.","CSL newsroom, 'Our Continued Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Supply and Patient Access', 24 Jul 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,verified-from-source,"Links the July letter back to the 17 Mar 2026 stockout notice; again frames the cause as quality standards, not safety or efficacy."
A,Hemgenix,centres,2026-07-24,Global,,treatment centres (qualitative),"This includes the first commercial HEMGENIX treatment in Canada, and the first-ever adolescent to receive a gene therapy in a global clinical trial for hemophilia B, and continued experience across new and established treatment centers.","CSL newsroom, 'Our Continued Commitment to the Hemophilia B Community: An Update on HEMGENIX (etranacogene dezaparvovec-drlb) Supply and Patient Access', 24 Jul 2026, signed Dr Deborah Long, SVP Medical Affairs",https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,verified-from-source,No centre count given. First Canadian commercial patient falls inside the 22-patient April-July 2026 window.
A,Hemgenix,patients_period,2026-07-28,Global,22,patients (commercial and clinical trial) since April 2026,"Since reestablishing limited supply in April 2026, HEMGENIX has been delivered to support treatment for 22 people living with hemophilia B in commercial and clinical trial settings.",CSL community letter PDF (July 2026) hosted by National Bleeding Disorders Foundation,https://www.bleeding.org/sites/default/files/document/files/Final_CSL%20HEMGENIX%20Community%20Letter_07%202026.pdf,verified-from-source,"Letter PDF text extracted locally (pypdf). PDF carries no date line, is headed 'BUSINESS USE', signed 'Dr. Deborah Long, SVP, Medical Affairs'; text identical to the CSL newsroom page of 24 Jul 2026 and to the copy on the other patient-organisation host."
A,Hemgenix,patients_cumulative,2026-07-28,Global,100,"patients (more than), commercial only, since approval","More than 100 people with hemophilia B have now received commercial treatment with HEMGENIX globally since approval, underscoring the continued progress being made in expanding access.",CSL community letter PDF (July 2026) hosted by National Bleeding Disorders Foundation,https://www.bleeding.org/sites/default/files/document/files/Final_CSL%20HEMGENIX%20Community%20Letter_07%202026.pdf,verified-from-source,"Letter PDF text extracted locally (pypdf). PDF carries no date line, is headed 'BUSINESS USE', signed 'Dr. Deborah Long, SVP, Medical Affairs'; text identical to the CSL newsroom page of 24 Jul 2026 and to the copy on the other patient-organisation host."
A,Hemgenix,patients_period,2026-07-28,Global,22,patients (commercial and clinical trial) since April 2026,"Since reestablishing limited supply in April 2026, HEMGENIX has been delivered to support treatment for 22 people living with hemophilia B in commercial and clinical trial settings.",CSL community letter PDF (July 2026) hosted by Hemophilia Federation of America,https://www.hemophiliafed.org/wp-content/uploads/2026/07/CSL-HEMGENIX-Community-Letter_07-2026.pdf,verified-from-source,"Letter PDF text extracted locally (pypdf). PDF carries no date line, is headed 'BUSINESS USE', signed 'Dr. Deborah Long, SVP, Medical Affairs'; text identical to the CSL newsroom page of 24 Jul 2026 and to the copy on the other patient-organisation host."
