sample_id,batch,raw_file,row_index,n_verified_rows,status_recorded,source_url,row_summary
A001,audit_1,data/uptake/raw/eligible_E3b.csv,42,47,verified-from-source,https://www.iqwig.de/download/g25-25_beremagen-geperpavec_bewertung-35a-absatz-1-satz-11-sgb-v_v1-0.pdf,"product=Vyjuvek | indication_key=DEB | indication_label=DEB with COL7A1 mutation and wounds, GKV-insured (projection | geography=Germany (GKV) | measure_type=gatekeeper_eligible | value_low=244 | value_high=910"
A002,audit_2,data/uptake/raw/casgevy_revenue.csv,4,14,verified-from-source,https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,"product=Casgevy | period=2024Q4 | region=Total | revenue_musd=8.0 | currency=USD | source_doc=Vertex 8-K Ex-99.1, Vertex Reports Fourth Quarter and Full Y | source_url=https://www.sec.gov/Archives/edgar/data/875320/0000875320260 | status=verified-from-source"
A003,audit_3,data/uptake/raw/yescarta_revenue.csv,65,176,verified-from-source,https://www.gilead.com/news-and-press/press-room/press-releases/2022/2/gilead-sciences-announces-fourth-quarter-and-full-year-2021-financial-results,product=Yescarta | period=2021Q4 | region=Europe | revenue_musd=65 | currency=USD | source_doc=Gilead Sciences Announces Fourth Quarter and Full Year 2021  | source_url=https://www.gilead.com/news-and-press/press-room/press-relea | status=verified-from-source
A004,audit_4,data/uptake/raw/eligible_E2.csv,2,98,verified-from-source,https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,product=Hemgenix | indication_key=HemB_adult | indication_label=adult severe hemophilia B without inhibitors (ICER budget-im | geography=US | measure_type=gatekeeper_eligible | value_point=860
A005,audit_1,data/uptake/raw/cart_country_supplement.csv,59,327,verified-from-source,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,"registry=EBMT activity survey | geography=Romania | year=2024 | product_or_class=CAR-T all | count=11 | count_type=infusions | verbatim=Romania: (5 centres: 257 (271) 82/175), (11 (11) 1/10)"
A006,audit_2,data/uptake/raw/cart_country_supplement.csv,28,327,verified-from-source,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,"registry=EBMT activity survey | geography=Greece | year=2024 | product_or_class=CAR-T all | count=53 | count_type=infusions | verbatim=Greece: (13 centres: 415 (429) 224/191), (53 (53) 2/51)"
A007,audit_3,data/uptake/raw/skysona_revenue.csv,9,8,verified-from-source,https://www.sec.gov/Archives/edgar/data/1293971/000129397125000009/R54.htm,"product=Skysona | period=2024FY | region=US | revenue_musd=9.917 | currency=USD | source_doc=bluebird bio Form 10-K for fiscal 2024, Product revenue and  | source_url=https://www.sec.gov/Archives/edgar/data/1293971/000129397125 | status=verified-from-source"
A008,audit_4,data/uptake/raw/provenge_revenue.csv,27,18,verified-from-source,https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/valeant2016form10-k.htm,product=Provenge | period=2015FY | region=Total | revenue_musd=250 | currency=USD | source_doc=Valeant Pharmaceuticals International 10-K for the year ende | source_url=https://www.sec.gov/Archives/edgar/data/885590/0000885590170 | status=verified-from-source
A009,audit_1,data/uptake/raw/elevidys_revenue.csv,15,16,verified-from-source,https://www.sec.gov/Archives/edgar/data/873303/000095017025064412/srpt-20250331.htm,product=Elevidys | period=2024Q1 | region=Ex-US (Roche proxy) | revenue_musd=0.173 | currency=USD | source_doc=Sarepta Form 10-Q for the quarter ended 2025-03-31 (filed 20 | source_url=https://www.sec.gov/Archives/edgar/data/873303/0000950170250 | status=verified-from-source
A010,audit_2,data/uptake/raw/cart_registry_counts.csv,25,141,verified-from-source,https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,registry=EBMT activity survey | geography=Germany | year=2022 | product_or_class=CAR-T all | count_type=patients | per_10m_population=79 | verbatim=CAR-T Rates per 10 Million Population (by country): Israel: 
A011,audit_3,data/uptake/raw/kymriah_disclosures.csv,7,19,verified-from-source,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000006/a190130-99_2.htm,product=Kymriah | record_type=statement | as_of_date=2018-12-31 | region=Global | verbatim=Kymriah sales were USD 28 million with the US as the main dr | source_doc=Novartis Q4 and FY 2018 Condensed Financial Report - Supplem
A012,audit_4,data/uptake/raw/cart_country_supplement.csv,226,327,verified-from-source,https://www.nature.com/articles/s41409-026-02919-9,registry=EBMT activity survey | geography=United Kingdom | year=2024 | product_or_class=CAR-T allogeneic | count=14 | count_type=patients | verbatim=Forty-five patients receiving allogeneic CAR-T cell therapy 
A013,audit_1,data/uptake/raw/papzimeos_revenue.csv,3,4,verified-from-source,https://www.sec.gov/Archives/edgar/data/1356090/000095010326007158/dp246650_ex9901.htm,"product=Papzimeos | period=2026Q1 | region=Total | revenue_musd=21.6 | currency=USD | source_doc=Precigen 8-K Ex-99.1, First Quarter 2026 Financial Results a | source_url=https://www.sec.gov/Archives/edgar/data/1356090/000095010326 | status=verified-from-source"
A014,audit_2,data/uptake/raw/eligible_E5_label_expansions.csv,0,11,verified-from-source,https://pmc.ncbi.nlm.nih.gov/articles/PMC4477633/,"product=Elevidys | indication_key=DMD_4plus_all | indication_label=Duchenne muscular dystrophy, all patients 4 years and older  | geography=US | measure_type=prevalence_rate | value_point=1.02"
A015,audit_3,data/uptake/raw/omisirge_revenue.csv,1,3,verified-from-source,https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,"product=Omisirge | period=2023Q3 | region=Total | revenue_musd=0.673 | currency=USD | source_doc=Gamida Cell 10-Q for the quarter ended September 30, 2023 (2 | source_url=https://www.sec.gov/Archives/edgar/data/1600847/000121390023 | status=verified-from-source"
A016,audit_4,data/uptake/raw/amtagvi_disclosures.csv,7,16,verified-from-source,https://www.sec.gov/Archives/edgar/data/1425205/000110465925018212/tm257755d1_ex99-1.htm,"product=Amtagvi | record_type=centres | as_of_date=2025-02-27 | region=US | value=70 | unit=authorized treatment centres | verbatim=Approximately 70 U.S. ATCs are active across 32 states | source_doc=Iovance 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Finan"
