severity,location,problem,manuscript_states,table_or_recomputation_shows
blocking,Abstract; §2.1; §2.2; Fig 1a caption; Methods/Statistics; thesis_tests.csv rows 0-2,Unit of analysis double-counts trials matching two subfamily queries,817 halted trials,"784 unique NCT registrations (33 duplicated rows; 851 rows = 813 unique). Dedup: therap 328 / diag 456; biz 242, sci 40, ratio 6.1; BIZ OR 2.46 p1=7.4e-9; REC OR 2.69 p1=3.2e-9"
blocking,§2.7; Fig 7 left panel; evidence_quality_by_family.csv,Results-posting denominator and family rates do not reproduce from trial_records.csv,"2,575 due trials, 18% posted; PM 31.0%, GE 15.3%, PROT 10.9%, AI 10.6%","1,711 interventional with primary completion <=2023, 317 posted = 18.5%; PM 33.8%, GE 18.4%, PROT 11.3%, AI 11.3%. No cut reproduces 2,575 (<=2024: 2,283; <=2025: 3,003; 'passed': 3,608)"
major,Abstract; Fig 1a annotations,Odds ratio reported as a risk ratio,2.3 times / 2.7 times more likely,OR 2.33 and 2.67; risk ratios are 0.411/0.230=1.79 and 0.367/0.178=2.06
major,§2.4,Superlative false: CRISPR transit time,reached Phase 3 in 2018 - the fastest transit in the map,"2 yr, tied with in vivo LNP (2011->2013) and AI-originated (2020->2022); beaten by AI/ML, pharmacogenomics, N-of-1, mass-spec (0 yr) and spatial omics (1 yr)"
major,§2.5,Count wrong as worded,three of the seven lowest-momentum platforms are at Phase 3 or beyond,"five of seven have a first Phase 3 year and are stage>=4 (AAV, WGS/WES, mass-spec, lentiviral, PGx); only three are stage 5. Fig 5 subtitle correctly says 'at Phase 3+ scale'"
major,§4.4,Uniqueness claim false,In vivo LNP is the one platform whose activity grew 5.8-fold,"6->35 = 5.83x is correct but third-largest multiple: AI-originated 2->25 = 12.5x, spatial omics 4->36 = 9.0x, base editing 0->21"
major,Abstract; §2.3,Superlative not supported by the paper's own maturity axis,the most clinically/scientifically mature therapeutic modality,"Four therapeutic platforms tie at stage 5 (AI-originated, AAV, CRISPR, in vivo LNP); CAR-T has 2,579 trials vs 316 and 54 Phase 3+ vs 32. AAV is earliest to clinic (1999) and to Phase 3 (2003)"
major,§2.1,"Wrong platforms named, and self-contradictory","the three largest therapeutic platforms - AAV, CRISPR nuclease editing and CAR-T","By halts: CAR-T 251, lentiviral 37, AAV 25, CRISPR 21. By trials: CAR-T 2,579, AAV 316, lentiviral 279, CRISPR 118. Lentiviral outranks CRISPR on both, then is called an 'exception'"
major,§3.1,Claim exceeds the range tested,Business-caused halting occurs at every stage,The 10 platforms with >=8 halts take only stage_n 4 and 5; no stage 1-3 platform enters the test
major,§3.1; §2.5,Null treated as evidence of absence; no power or tie caveat,the natural story is absent; newness carries no information,"rho=0.00 p=1.00 on n=10 with a predictor of only 2 distinct levels (maximally tied Spearman); rho=-0.08 p=0.74 on n=21 with 4 levels. §3.2 carries the correct caveat, §3.1 and §2.5 do not"
major,Methods/Halt-reason classification,Methods misdescribes a published category,no cause are retained as a visible 'no reason stated' category (n = 112),"'No reason stated' = 63 (exactly the 63 of 851 with no reason text); a separate 'Unclear' category = 49 (text present, no discernible cause). 63+49=112"
major,Limitations 3,Sponsor clustering mislabelled; stated check does not test it,Trials cluster within sponsors - CAR-T alone contributes 251 halted trials,"CAR-T is a technology, not a sponsor. Sponsor clustering is mild: 444 sponsors / 817 halts, mean 1.84, largest 25 (3.1%), top-10 16.5%. Dominant non-independence is the 33 duplicated registrations"
major,Fig 4 caption; Methods,Undisclosed left-censoring of the literature take-off metric,the year publication volume first reached 10% of its maximum,"All 6 rows flagged literature_predates_2012_window have inflection_year exactly 2012, the PubMed window floor (series is 2012-2025); Methods never states the window. In 14/21 subfamilies take-off is at or after the first interventional trial"
major,Fig 6 caption; supplementary table list,Caption over-claims what the figure can show,Approval-to-retreat intervals ... six post-approval cases,"3 of 6 rows have appr = NaN (giroctocogene, Roctavian, Hemgenix), so no interval exists for half the figure; giroctocogene was never approved ('positive Phase 3', 'never priced')"
major,§2.6,Text and Figure 6 cover different case sets; one claim unsourced,"bluebird bio, holder of three FDA-approved gene therapies, was sold to private equity",No row in commercial_retreat_cases.csv covers the sale or the three-approval count; Roctavian and Hemgenix are in the table but undiscussed
major,trial_records.csv vs master table vs evidence_quality_by_family.csv,Family label collision breaks joins,"family = 'AI-driven drug discovery' for 5,601 records","Master table reserves that label for the 30-trial AI-originated-candidates row and calls the 5,601 'AI/ML in clinical research' (as does the evidence CSV)"
major,§4.2; §4.4,Unsourced external claims; internally inconsistent chronology,"~20,000 staff reductions; NIH to ~$27.5bn, ~$18bn cut, ~$9.5bn already cut by June 2025",No supplementary source table (cf. Fig 6). An Act signed July 2025 cannot account for cuts already made by June 2025; the same sentence calls the allocation both mandated and 'contested'
major,Abstract vs §3 vs Methods vs thesis_tests.csv,Count of negative results inconsistent,three intuitive extensions ... all three failed,Methods says four negative results; thesis_tests.csv has 4 negative rows. §3.3 reports no test (it is a scope bound); the momentum test is in §2.5
major,Methods/Intervention-role flag; §4.1,Flag sensitivity unreported and demonstrably poor,diagnostic platforms are staged only on that flagged subset,"All 7 CRISPR Phase 3/4 trials (CTX001, NTLA-2001) have driver=False because the product code, not 'CRISPR', is in title/intervention. Every assay-as-intervention count (liquid biopsy 278/23; affinity proteomics 1/0) rests on this flag"
minor,Abstract; Fig 1a,p-values disagree with body and test record,p = 3e-8; p = 2e-9,2.6e-8 and 1.6e-9 (one-sided)
minor,Abstract; §2.3; Fig 2 subtitle,'programs' used for a trial count,32 Phase 3 or later programs,n_ph3plus = 32 trials; Limitation 6 concedes the distinction; only 14 of the 32 have AAV named as intervention/title
minor,§4.1,Interval misstated,Liquid biopsy ... it took roughly a decade,first interventional 2010 -> first Phase 3 2014 = 4 yr; first record 1996 -> 2014 = 18 yr
minor,§4.3,Denominator imprecise,31.4% of AAV trials,"0.314 is of 303 sited trials, not the 316 records"
minor,Methods/Statistics,Stated cross-check never reported,with chi-square as a cross-check,No chi-square appears in text or thesis_tests.csv (they are 4.83e-8 and 5.98e-9)
minor,Methods/Statistics,Prespecification not documented,one-sided in the prespecified direction,Direction was derived from these data; two-sided p = 4.46e-8 and 2.31e-9
minor,Abstract; §1; Methods,Distinct-string count inflated by near-duplicates,673 distinct verbatim sponsor statements,673 exact; 655 after case/whitespace normalisation
minor,§2.4; §3.3; Fig 4 legend,'first registered' used for two different columns,"epigenome editing has 2, first registered in 2025","first_year = 2020; 2025 is first_int_year. Fig 4 legend says 'first registered trial', manuscript caption says 'first registered interventional trial'"
minor,Fig 7 caption vs §2.7 vs figure panel header,Two different populations described,interventional trials whose primary completion date has passed,"Figure panel and §2.7 use 'primary completion <=2023'. The two give 3,608 (12.1%) and 1,711 (18.5%)"
minor,§2.1; Fig 1b,"Percentages from very small denominators, no uncertainty","N-of-1 (25% payment, 50% recruitment)",2/8 and 4/8; AAV's 72% is 18/25. Fig 1b positions for these rest on n=8-25
minor,Fig 8 subtitle; §2.8,Metric mislabelled,reaches middle-income sites in 59% of trials,"Metric is 'at least one site outside a high-income country', which includes low-income countries"
minor,Supplementary table list,Table scope does not match figure,access_equity_by_subfamily.csv ... behind Figure 8,Table has 20 rows; the figure plots 18 (prime and epigenome editing excluded at 2 sited trials each)
minor,Methods/Statistics; §4.4,Independence over-claimed,the two primary tests ... well below any correction threshold; two independent methods converging,The two primary tests are complementary categories on the same 817 rows; deal-flow commentary and sponsor-stated reasons both derive from the same sponsors' decisions
