product,inn,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date,notes
Skysona,elivaldogene autotemcel,2022-09-16,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/skysona,verified-from-source,"Required labeling changes for increased risk of hematologic malignancy; updates to Boxed Warning, Indications and Usage, Warnings and Precautions (malignancy rate revised from 4% to 15%, 10/67 trial participants)",2025-08-07,https://www.fda.gov/vaccines-blood-biologics/fda-approves-required-labeling-changes-increased-risk-hematologic-malignancy-following-treatment,2021-07-16,"standard (EMA page does not mark it conditional or exceptional-circumstances)",2021-11-18,https://www.ema.europa.eu/en/medicines/human/EPAR/skysona,verified-from-source,2026-09-04,"FDA page shows 'September 16, 2022' original approval plus later approval letters 2024-04-05 and 2025-08-07. Accelerated-approval status confirmed via FDA approval-letter search (https://www.fda.gov/media/161665/download). EU MA withdrawn at request of bluebird bio (Netherlands) B.V. for commercial reasons; no EU patient had been treated."
Tecartus,brexucabtagene autoleucel,2020-07-24,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecartus,verified-from-source,"Boxed warning updated to add T cell malignancies (class-wide CAR-T safety labeling change); separately REMS eliminated 2025-06-26",2024-01-23,https://www.fda.gov/media/175652/download,2020-12-14,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/tecartus,verified-from-source,2026-09-04,"FDA approval letter headed 'ACCELERATED APPROVAL July 24, 2020' (https://www.fda.gov/files/vaccines,%20blood%20&%20biologics/published/July-24-2020-Approval-Letter-TECARTUS.pdf). FDA page lists many later supplement approval letters through 2026-06-16. EU MA still active (conditional)."
Tecelra,afamitresgene autoleucel,2024-08-01,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecelra,verified-from-source,"Later approval letter 2026-06-17 (supplement); no withdrawal or label restriction found",,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tecelra,not-found,2026-09-04,"No EU marketing authorisation: EMA EPAR URL returns HTTP 404 and EMA site search returns only a paediatric investigation plan (EMA decision 2021-08-12), no EPAR. FDA approval letter dated 2024-08-01; FDA announcement/OCE page dated 2024-08-02 - secondary sources often cite August 2, 2024."
Tregzi,"allogeneic regulatory T cell immunotherapy with HSPC and T cells-vldq (Orca-T)",2026-07-01,"standard approval (no accelerated-approval statement on FDA page)",https://www.fda.gov/vaccines-blood-biologics/tregzi,verified-from-source,none found,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tregzi,not-found,2026-09-04,"Proper name verified on FDA page as 'allogeneic regulatory T cell immunotherapy with HSPC and T cells-vldq' - it has no INN of the '-cel' form; sponsor listed as Orca Biosystems Inc (Orca Bio). DISCREPANCY: FDA product page states approval date July 1, 2026, whereas Drugs.com and press coverage (Fierce Pharma, Big Molecule Watch 2026-07-10) report June 30, 2026. No EU authorisation: EMA EPAR URL 404s."
Tudriqev,vusolimogene oderparepvec-wtpg,2026-08-06,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/tudriqev,verified-from-source,"Approved under accelerated approval based on ORR and duration of response; continued approval contingent on confirmatory trial(s)",2026-08-06,https://www.fda.gov/vaccines-blood-biologics/tudriqev,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tudriqev,not-found,2026-09-04,"Replimune, Inc. Note earlier regulatory history: FDA issued a complete response letter for this BLA before the eventual accelerated approval. No EU authorisation found: EMA EPAR URL 404s and no MAA outcome located."
Vyjuvek,beremagene geperpavec,2023-05-19,"standard approval (BLA; no accelerated-approval statement)",https://www.fda.gov/vaccines-blood-biologics/vyjuvek,verified-from-source,"Later approval letters 2023-08-07 and 2025-09-12 (supplements); no label restriction or withdrawal found",,,2025-04-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/vyjuvek,verified-from-source,2026-09-04,"FDA page lists approval letters 2023-05-19 (original), 2023-08-07, 2025-09-12. EU MA issued 23/04/2025, standard, not withdrawn."
Waskyra,etuvetidigene autotemcel,2025-12-09,"standard approval (no accelerated-approval statement on FDA page)",https://www.fda.gov/vaccines-blood-biologics/waskyra,verified-from-source,none found,,,2026-01-09,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/waskyra,verified-from-source,2026-09-04,"Sponsor/MAH Fondazione Telethon ETS (Rome) - first non-profit to take a gene therapy through to approval in both US and EU. FDA approval 2025-12-09 precedes EU MA 2026-01-09 (CHMP positive opinion November 2025). Indication: Wiskott-Aldrich syndrome."
Yescarta,axicabtagene ciloleucel,2017-10-18,"regular (non-accelerated) approval for r/r large B-cell lymphoma; the follicular lymphoma indication added later was under accelerated approval",https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/yescarta,verified-from-source,"Boxed warning updated to add T cell malignancies (class-wide CAR-T safety labeling change); separately REMS eliminated 2025-06-26",2024-01-19,https://www.fda.gov/media/175627/download,2018-08-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/yescarta,verified-from-source,2026-09-04,"CAUTION: the FDA product page carries an 'approved under accelerated approval based on response rate' statement, but that applies to the follicular-lymphoma indication, not the original 2017-10-18 approval, which FDA describes as regular approval (https://www.fda.gov/drugs/informationondrugs/approveddrugs/ucm581296.htm). FDA page lists 16 approval letters, latest 2026-08-06."
Zevaskyn,prademagene zamikeracel,2025-04-28,"standard approval (no accelerated-approval statement on FDA page)",https://www.fda.gov/vaccines-blood-biologics/zevaskyn,verified-from-source,none found,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/zevaskyn,not-found,2026-09-04,"Abeona Therapeutics, Inc. DISCREPANCY: FDA page and approval letter give April 28, 2025; Abeona's own press release and several secondary sources say April 29, 2025. No EU MA: EMA EPAR URL 404s; only an EU orphan designation exists (EU/3/17/1835, granted 2017-02-27)."
Zolgensma,onasemnogene abeparvovec,2019-05-24,"standard approval (priority review / breakthrough; not accelerated approval)",https://www.fda.gov/vaccines-blood-biologics/zolgensma,verified-from-source,"Label carries a boxed warning for SERIOUS LIVER INJURY and ACUTE LIVER FAILURE, with fatal acute liver failure reported post-marketing; multiple later approval letters (latest 2026-06-16)",,https://www.fda.gov/media/126109/download,2020-05-18,"conditional, converted to full marketing authorisation on 2022-05-17",,https://www.ema.europa.eu/en/medicines/human/EPAR/zolgensma,verified-from-source,2026-09-04,"FDA page lists original 2019-05-24 plus supplements 2021-10-22, 2022-08-05, 2023-02-16, 2023-10-17, 2024-07-26, 2025-02-05, 2026-06-16. Boxed warning date not pinned to a single FDA safety page within the fetch budget - the boxed warning text was verified in the FDA package insert, so treat fda_event_date as unestablished rather than absent."
