product,sponsor_at_event,event_date,event_type,event_title,counterparty,amount_usd_m,manufacturing_model,geography,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
Abecma,Celgene,2019-01-03,acquisition,Bristol-Myers Squibb acquires Celgene (Abecma co-developer with bluebird bio),Bristol-Myers Squibb,,autologous CAR-T,worldwide,"each share of Celgene common stock ... will automatically be converted into the right to receive (1) $50.00 in cash, without interest, (2) one share of BMS common stock and (3) one tradeable contingent value right (a 'CVR') representing the right to receive $9.00 in cash if a specified set of milestones is achieved","Celgene Corp Form 8-K (Item 1.01), Agreement and Plan of Merger with Bristol-Myers Squibb dated 2019-01-02 (filed 2019-01-04)",https://www.sec.gov/Archives/edgar/data/816284/000114420419000539/tv510358_8k.htm,2026-09-05,verified-from-source,Predates first approval (Abecma 2021-03-26; Breyanzi 2021-02-05); included because it fixed the sponsor at launch. Announced 2019-01-03; closing 2019-11-20 per Celgene 8-K https://www.sec.gov/Archives/edgar/data/816284/000110465919065939/tm1923405d1_8k.htm. Headline value c. USD 74bn per contemporaneous releases (not restated in the 8-K read); amount left blank.
Abecma,bluebird bio,2021-11-04,restructuring,bluebird bio completes tax-free spin-off of oncology business (incl. US Abecma 50/50 share) as 2seventy bio,2seventy bio,,autologous CAR-T,US,"On November 4, 2021, bluebird bio completed the tax-free spin-off of its oncology business, 2seventy bio, Inc.","bluebird bio 8-K Ex-99.1, Third Quarter 2021 Financial Results (2021-11-05)",https://www.sec.gov/Archives/edgar/data/1293971/000129397121000085/exhibit99120211105.htm,2026-09-05,verified-from-source,Separation first announced January 2021. Also in release: completion of the sale of bluebird's North Carolina manufacturing facility.
Abecma,2seventy bio,2023-09-12,restructuring,2seventy bio strategic restructuring: c.40% workforce reduction to prioritise Abecma,,,autologous CAR-T,US,"2seventy bio Announces Strategic Restructuring to Prioritize Growth of Abecma, Streamline Pipeline Advancement and Preserve Financial Runway. Approximately 40% workforce reduction combined with related actions expected to achieve $130+ million savings in the 2024-2025 period",2seventy bio 8-K Ex-99.1 press release (2023-09-12),https://www.sec.gov/Archives/edgar/data/1860782/000186078223000101/a91223pr.htm,2026-09-05,verified-from-source,Savings USD 130m+ over 2024-2025 (not a charge); amount field left blank.
Abecma,2seventy bio,2024-01-30,restructuring,2seventy bio sells R&D pipeline to Regeneron and focuses exclusively on Abecma,Regeneron,,autologous CAR-T,US,"Company to focus exclusively on commercialization and development of Abecma, in partnership with Bristol Myers Squibb. Company to sell R&D pipeline to Regeneron to launch Regeneron Cell Medicines business ... Expected annual cost savings of approximately $150 million in 2024","2seventy bio 8-K Ex-99.1, '2seventy bio Announces New Strategic Path Forward' (2024-01-30)",https://www.sec.gov/Archives/edgar/data/1860782/000186078224000007/tsvtfirefoxpr_final1.htm,2026-09-05,verified-from-source,"Pipeline sale, not a sale of Abecma; classified as sponsor restructuring around the product."
Abecma,Bristol Myers Squibb / 2seventy bio,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Abecma,2seventy bio,2025-03-10,acquisition,Bristol Myers Squibb acquires 2seventy bio (US Abecma profit-share partner),Bristol Myers Squibb,286,autologous CAR-T,US,"BMS will acquire all of the outstanding shares of 2seventy bio at a price of $5.00 per share in an all-cash transaction for a total equity value of approximately $286 million, or $102 million net of estimated cash. The deal represents an 88% premium to the closing price of $2.66 on March 7, 2025.","2seventy bio 8-K Ex-99.1, '2seventy bio Enters into Definitive Agreement to be Acquired by Bristol Myers Squibb' (2025-03-11)",https://www.sec.gov/Archives/edgar/data/1860782/000119312525051427/d905827dex991.htm,2026-09-05,verified-from-source,Closing 2025-05-13 per 2seventy 8-K https://www.sec.gov/Archives/edgar/data/1860782/000114036125018514/ny20048433x3_8k.htm. After closing no independent partner disclosure of US Abecma revenue.
Adstiladrin,Ferring,2025-04-24,shipment-pause-or-restriction,Supply-constrained initial US rollout (H2 2023) ended with full availability announced January 2024; third manufacturing site approved April 2025,,,other,US,"As announced in January 2024, ADSTILADRIN is fully available and accessible in the U.S. ADSTILADRIN has confirmed 99 percent coverage for commercial and government-insured patients.","Ferring press release, 'U.S. FDA approves second drug product manufacturing facility for Adstiladrin' (2025-04-24)",https://www.ferring.com/u-s-fda-approves-second-drug-product-manufacturing-facility-for-adstiladrin-nadofaragene-firadenovec-vncg/,2026-09-05,verified-from-source,"Event is a capacity-limited launch (approval 2022-12-16, initial rollout H2 2023), not a sponsor retreat; the January 2024 'fully available' release itself was not retrieved, so the row is dated by the April 2025 release that restates it. Ferring is private: no SEC filings. Same release: FDA approval of Parsippany NJ site 'secures a final $200 million payment from Royalty Pharma'."
Amtagvi,Iovance,2025-08-07,restructuring,Iovance strategic restructuring (>USD 100m annual savings; cash runway into 4Q26),,,other,US,"Iovance is implementing a strategic restructuring to optimize business performance, resulting in more than $100 million in annual cost savings starting in the fourth quarter of 2025 and extending cash runway into the fourth quarter of 2026. No significant changes to the pipeline are expected","Iovance 8-K Ex-99.1, Q2 2025 financial results and corporate updates (2025-08-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465925075175/tm2522769d1_ex99-1.htm,2026-09-05,verified-from-source,Manufacturing model: autologous tumour-infiltrating lymphocytes (TIL). Workforce percentage not stated in the release or the Q3 2025 10-Q text read; 10-Q refers to 'our restructuring plan and workforce reduction'.
Amtagvi,Iovance,2025-08-07,discontinuation-or-withdrawal,Iovance withdraws EU marketing authorisation application for lifileucel after CHMP interactions,EMA,,other,EU,Iovance recently withdrew a marketing authorization application (MAA) from the European Medicines Agency (EMA) following interactions with EMA's Committee for Medicinal Products for Human Use. A new strategy is in development to make Amtagvi and TIL therapy broadly accessible to patients in the EU.,"Iovance 8-K Ex-99.1, Q2 2025 results (2025-08-07); Iovance 10-Q for quarter ended 2025-06-30",https://www.sec.gov/Archives/edgar/data/1425205/000110465925075175/tm2522769d1_ex99-1.htm,2026-09-05,verified-from-source,"Withdrawal of a pending application, not of an authorisation; exact notification date not stated (row dated by disclosure). 10-Q: 'Iovance notified EMA of its decision to withdraw the MAA and is working to determine a resubmission strategy' https://www.sec.gov/Archives/edgar/data/1425205/000155837025010807/iova-20250630x10q.htm. EMA withdrawn-application page not found (404)."
Aucatzyl,Autolus,2026-04-29,restructuring,Autolus cost-reduction initiative: c.13% headcount reduction while doubling manufacturing output,,,autologous CAR-T,worldwide,Company will reduce headcount by approximately 13% while doubling manufacturing of products for commercial and clinical trial patients in 2026 ... Autolus reiterates full year 2026 AUCATZYL net product revenue of $120 million to $135 million,"Autolus 8-K Ex-99.1, 'Autolus Therapeutics Announces Initiative to Support Operational Efficiency and Cost Reduction' (2026-04-29)",https://www.sec.gov/Archives/edgar/data/1730463/000119312526192362/d113906dex991.htm,2026-09-05,verified-from-source,"Q1 2026 release: reduction 'expected to reduce operating expenses by approximately $15 million on an annualized basis' https://www.sec.gov/Archives/edgar/data/1730463/000173046326000058/autlex-991pr140526.htm. Framed as margin improvement, not retreat; guidance later raised to USD 140-150m (Aug 2026)."
