"product","system","country","body","indication_key","indication_text","regulatory_approval_date","submission_or_start_date","decision_date","outcome","arrangement_type","arrangement_detail","added_benefit_or_rating","price_at_decision","price_currency","price_basis","stated_reasons_verbatim","document_title","document_id","source_url","fetched_date","status","notes"
"Yescarta","France","France","HAS-CT","LBCL_3L","le service médical rendu par YESCARTA est important dans les indications de l’AMM.","2018-08-23","","2018-12-05","recommended","unknown","","SMR Important; ASMR III","","","","Compte tenu : • des données d’efficacité pertinentes obtenues à court terme sur la réponse complète (environ 50% de la population ITT) et sur la survie globale dans des situations cliniques engageant le pronostic vital et pour lesquelles les options thérapeutiques sont limitées et ne permettent pas d’envisager une rémission, • des incertitudes sur la quantité d’effet faute de comparaison directe à la prise en charge habituelle, et sur le maintien de l’efficacité clinique à plus long terme, • de la toxicité significative à court terme et de l’absence de donnée de tolérance à long terme, la Commission considère qu’en l’état actuel des données, YESCARTA apporte une amélioration du service médical rendu modérée (ASMR III) en termes d’efficacité par rapport à la prise en charge actuelle du lymphome diffus à grandes cellules B et du lymphome médiastinal primitif à grandes cellules B réfractaire ou en rechute, après au moins deux lignes de traitement systémique.","Avis de la Commission de la Transparence du 05/12/2018 - YESCARTA - Inscription (CT)","CT-17214","https://www.has-sante.fr/jcms/c_2888882","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Kymriah","France","France","HAS-CT","LBCL_3L","Le service médical rendu par KYMRIAH est important dans l’indication de l’AMM.","2018-08-23","","2018-12-12","recommended","unknown","","SMR Important; ASMR IV","","","","Compte tenu : • des données d’efficacité obtenues à court terme sur la réponse complète (environ 24% de la population ITT) et sur la survie globale avec une médiane de suivi d’environ 7 mois, dans des situations cliniques engageant le pronostic vital et pour lesquelles les options thérapeutiques sont limitées et ne permettent pas d’envisager une rémission, • des incertitudes sur la quantité d’effet faute de comparaison directe à la prise en charge habituelle, et sur le maintien de l’efficacité clinique à plus long terme, • de la toxicité significative à court terme et de l’absence de donnée de tolérance à long terme, la Commission considère qu’en l’état actuel des données, KYMRIAH apporte une amélioration du service médical rendu mineure (ASMR IV) en termes d’efficacité par rapport à la prise en charge historique du lymphome diffus à grandes cellules B réfractaire ou en rechute, après au moins deux lignes de traitement systémique, fondée sur diverses chimiothérapies.","Avis de la Commission de la Transparence du 12/12/2018 - KYMRIAH - Inscription (CT)","CT-17238","https://www.has-sante.fr/jcms/c_2891692","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Kymriah","France","France","HAS-CT","ALL_ped","Le service médical rendu par KYMRIAH est important dans le traitement des enfants et jeunes adultes jusqu’à 25 ans atteints de leucémie aigüe lymphoblastique à cellules B réfractaire, en rechute après greffe ou après la deuxième rechute ou plus.","2018-08-23","","2018-12-12","recommended","unknown","","SMR Important; ASMR III","","","","Compte tenu : • des données d’efficacité montrant un pourcentage élevé de rémissions complètes à 3 mois (environ 67% de la population ITT) maintenues chez environ 40% des patients après un suivi médian de 9 mois, • chez des patients âgés de 12 ans en moyenne, en majorité lourdement prétraités et dans des situations cliniques pour lesquelles les options thérapeutiques disponibles sont limitées et ne permettent pas d’envisager une rémission complète, • des incertitudes sur la quantité d’effet faute de comparaison directe à la prise en charge habituelle dans un contexte où celle-ci était difficilement réalisable, et sur le maintien de l’efficacité clinique à plus long terme, • et de la toxicité significative à court terme et de l’absence de donnée de tolérance à long terme, la Commission considère que KYMRIAH apporte une amélioration du service médical rendu modérée (ASMR III) dans la stratégie de prise en charge des enfants et jeunes adultes atteints de LAL B réfractaire, en rechute après greffe ou après la deuxième rechute ou plus.","Avis de la Commission de la Transparence du 12/12/2018 - KYMRIAH - Inscription (CT)","CT-17202","https://www.has-sante.fr/jcms/c_2891689","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Alofisel","France","France","HAS-CT","CROHN_FISTULA","Dans le seul traitement des fistules périanales complexes non compliquées chez les adultes atteints de maladie de Crohn luminale non active/légèrement active, en association à une biothérapie, lorsque ces fistules ont répondu de manière inadéquate à au moins une biothérapie, et aux posologies de l’AMM, la Commission considère que le service médical rendu par ALOFISEL 5 millions de cellules/mL, suspension injectable est important.","2018-03-23","","2019-02-06","recommended-restricted","unknown","","SMR Important; ASMR IV","","","","Dans le traitement des fistules périanales complexes non compliquées, chez les adultes atteints de maladie de Crohn non active/légèrement active, lorsque ces fistules ont répondu de manière inadéquate à au moins une biothérapie : Compte tenu : • de la démonstration, après 24 semaines de traitement, de la supériorité de l’administration d’une injection de darvadstrocel, en association à une biothérapie, par rapport au placebo sur la proportion de patients en rémission définie comme la fermeture de tous les orifices fistuleux externes malgré une pression douce au doigt + absence de collection > 2 cm en IRM, (critère de jugement principal), • du niveau de preuve élevé de cette démonstration (étude de phase III comparative randomisée et en double aveugle) dans un contexte de maladie rare, grave et invalidante, • de la quantité d’effet supplémentaire jugée modérée sur le critère de jugement principal, et dont la pertinence clinique est limitée en l’absence de différence statistiquement significative démontrée sur les deux critères de jugement secondaires hiérarchisés, • du profil de tolérance favorable à court terme (jusqu’à 52 semaines) avec des incertitudes à long terme (notamment la prise en charge des récidives), • du besoin médical mal couvert après échec ou réponse inadéquate à au moins une biothérapie, ALOFISEL apporte une amélioration du service médical rendu mineure (ASMR IV) dans le traitement des fistules périanales complexes non compliquées, chez les adultes atteints de maladie de Crohn non active/légèrement active, en association à une biothérapie, lorsque ces fistules ont répondu de manière inadéquate à au moins une biothérapie.","Avis de la Commission de la Transparence du 06/02/2019 - ALOFISEL - Inscription (CT)","CT-17069","https://www.has-sante.fr/jcms/c_2904636","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Alofisel","France","France","HAS-CT","CROHN_FISTULA","Dans les autres situations, la Commission considère que le service médical rendu par ALOFISEL 5 millions de cellules/mL, suspension injectable est insuffisant pour justifier la prise en charge par la solidarité nationale, notamment après échec ou réponse inadéquate aux seuls traitements conventionnels.","2018-03-23","","2019-02-06","not-recommended","none","","SMR insuffisant; ASMR sans objet","","","","Dans les autres situations, la Commission considère que le service médical rendu par ALOFISEL 5 millions de cellules/mL, suspension injectable est insuffisant pour justifier la prise en charge par la solidarité nationale, notamment après échec ou réponse inadéquate aux seuls traitements conventionnels.","Avis de la Commission de la Transparence du 06/02/2019 - ALOFISEL - Inscription (CT)","CT-17069","https://www.has-sante.fr/jcms/c_2904636","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible) (row for the SMR insuffisant sub-population of the same avis)"
"Luxturna","France","France","HAS-CT","RPE65","Le service médical rendu par LUXTURNA 5 x 1012 génomes de vecteur/ml, solution à diluer, est important dans l’indication de l’AMM.","2018-11-22","","2019-04-03","recommended","unknown","","SMR Important; ASMR II","","","","Prenant en compte : • la qualité de la démonstration de l’efficacité de LUXTURNA dans une étude de phase III versus l’absence de traitement, randomisée, multicentrique, et malgré le caractère ouvert de l’étude, • la pertinence du critère de jugement principal évaluant la vision fonctionnelle des patients par un test de mobilité en ambiance lumineuse variable (MLMT) et la pertinence clinique de l’effet observé après 1 an de suivi par rapport à l’absence de traitement, • le besoin médical non couvert dans une maladie invalidante et évoluant vers la cécité, • l’absence de démonstration robuste d’un effet de LUXTURNA sur la qualité de vie, la Commission considère que LUXTURNA 5 x 1012 génomes de vecteur/ml, solution à diluer injectable, apporte une amélioration du service médical rendu importante (ASMR II) dans la prise en charge des patients adultes et pédiatriques ayant une perte visuelle due à une dystrophie rétinienne héréditaire résultant de mutations bi-alléliques confirmées du gène RPE65 et possédant suffisamment de cellules rétiniennes viables.","Avis de la Commission de la Transparence du 03/04/2019 - LUXTURNA - Inscription (CT)","CT-17535","https://web.archive.org/web/20191112230609/https://www.has-sante.fr/upload/docs/evamed/CT-17535_LUXTURNA_PIC_INS_Avis2_CT17535.pdf","2026-09-05","verified-from-source","avis type: initial inscription; motif BDPM: Inscription (CT). Full avis PDF read via Wayback Machine. population cible: 34-171 (avis: 62 à 311 patients avec mutations RPE65, dont environ 55 % avec cellules viables suffisantes)"
"Zolgensma","France","France","HAS-CT","SMA_5q","Le service médical rendu par ZOLGENSMA (onasemnogene abeparvovec) est important dans le traitement des patients atteints d’amyotrophie spinale 5q (mutation bi allélique du gène SMN1), avec un diagnostic clinique de SMA de type I et II, ou des patients pré-symptomatiques, et ayant jusqu’à 3 copies du gène SMN2.","2020-05-18","","2020-12-16","recommended-restricted","unknown","","SMR Important; ASMR III","","","","ZOLGENSMA (onasemnogene abeparvovec) apporte une amélioration du service médical rendu modérée (ASMR III), au même titre que SPINRAZA (nusinersen), dans la stratégie thérapeutique : • des patients atteints de SMA de type I, • des patients pré-symptomatiques avec un diagnostic génétique de SMA (mutation bi-allélique du gène SMN1) et 1 à 2 copies du gène SMN2.","Avis de la Commission de la Transparence du 16/12/2020 - ZOLGENSMA - Inscription (CT)","CT-18743","https://www.has-sante.fr/jcms/p_3224937","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Zolgensma","France","France","HAS-CT","SMA_5q","Le service médical rendu par ZOLGENSMA (onasemnogene abeparvovec) est important dans le traitement des patients atteints d’amyotrophie spinale 5q (mutation bi allélique du gène SMN1), avec un diagnostic clinique de SMA de type I et II, ou des patients pré-symptomatiques, et ayant jusqu’à 3 copies du gène SMN2.","2020-05-18","","2020-12-16","recommended-restricted","unknown","","SMR Important; ASMR V","","","","ZOLGENSMA (onasemnogene abeparvovec) n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la stratégie thérapeutique, excluant SPINRAZA (nusinersen) : • des patients atteints de SMA de type II, • des patients pré-symptomatiques avec un diagnostic génétique de SMA (mutation bi-allélique du gène SMN1) et 3 copies du gène SMN2.","Avis de la Commission de la Transparence du 16/12/2020 - ZOLGENSMA - Inscription (CT)","CT-18743","https://www.has-sante.fr/jcms/p_3224937","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible)"
"Zolgensma","France","France","HAS-CT","SMA_5q","Le service médical rendu par ZOLGENSMA (onasemnogene abeparvovec) est insuffisant pour justifier d’une prise en charge par la solidarité nationale dans le traitement des patients atteints d’amyotrophie spinale 5q (mutation bi allélique du gène SMN1) avec un diagnostic clinique de SMA de type III.","2020-05-18","","2020-12-16","not-recommended","none","","SMR insuffisant; ASMR sans objet","","","","Le service médical rendu par ZOLGENSMA (onasemnogene abeparvovec) est insuffisant pour justifier d’une prise en charge par la solidarité nationale dans le traitement des patients atteints d’amyotrophie spinale 5q (mutation bi allélique du gène SMN1) avec un diagnostic clinique de SMA de type III.","Avis de la Commission de la Transparence du 16/12/2020 - ZOLGENSMA - Inscription (CT)","CT-18743","https://www.has-sante.fr/jcms/p_3224937","2026-09-05","provisional-from-snippet","avis type: initial inscription; motif BDPM: Inscription (CT). SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). population cible: not retrieved (full avis not accessible) (row for the SMR insuffisant sub-population of the same avis)"
"Yescarta","France","France","HAS-CT","LBCL_3L","Le service médical rendu par YESCARTA (axicabtagene ciloleucel) reste important dans l’indication de l’AMM.","2018-08-23","","2021-03-24","recommended","unknown","","SMR Important; ASMR III","","","","La Commission considère que ses précédentes conclusions ne sont pas susceptibles d’être modifiées. En l’état actuel des données, YESCARTA (axicabtagene ciloleucel) apporte toujours une amélioration du service médical rendu modérée (ASMR III) en termes d’efficacité par rapport à la prise en charge historique du lymphome diffus à grandes cellules B et du lymphome médiastinal primitif à grande cellule B réfractaire ou en rechute, après au moins deux lignes de traitement systémique, fondée sur diverses chimiothérapies.","Avis de la Commission de la Transparence du 24/03/2021 - YESCARTA - Réévaluation SMR et ASMR","CT-19018","https://www.has-sante.fr/jcms/p_3262244","2026-09-05","provisional-from-snippet","avis type: re-evaluation; motif BDPM: Réévaluation SMR et ASMR. SMR/ASMR and wording from the Base de données publique des médicaments extracts (CIS_HAS_SMR_bdpm.txt, CIS_HAS_ASMR_bdpm.txt), which quote the avis conclusions; full avis PDF on has-sante.fr not fetchable (403 to curl, WebFetch aborted). regulatory_approval_date is the initial EU MA date; the EU extension date was not retrieved here. population cible: not retrieved (full avis not accessible)"
