product_key,geography,family,n_estimates,n_verified_or_derived,low,high,low_incl_provisional,high_incl_provisional,by_disease,n_diseases,estimate_years,measure_types,indications,sources
abecma,Canada,annual,1,0,,,251.0,325.0,MM:251-325,1,2023,gatekeeper_eligible,MM_4L,"CADTH Reimbursement Review, Idecabtagene Vicleucel (Abecma),"
abecma,France,annual,2,2,740.0,1600.0,740.0,1600.0,MM:740-1600,1,"2021,2024",gatekeeper_eligible,"MM_3L,MM_4L","HAS Commission de la Transparence, Avis ABECMA (idecabtagene | HAS Commission de la Transparence, Avis ABECMA extension d'i"
abecma,Germany,annual,2,2,1200.0,5250.0,1200.0,5250.0,MM:1200-5250,1,"2022,2024",gatekeeper_eligible,"MM_3L,MM_4L",G-BA Beschluss AM-RL Anlage XII: Idecabtagen vicleucel (Neub | G-BA Beschluss ueber eine Aenderung der Arzneimittel-Richtli
abecma,UK,annual,2,2,914.0,2482.0,914.0,2482.0,MM:914-2482,1,2022,annual_incident_eligible,"MM_3L,MM_4L","Fonseca R et al., Frontline treatment patterns and attrition | Yong K et al., Multiple myeloma: patient outcomes in real-wo"
abecma,US,annual,3,3,2880.0,19620.0,2880.0,19620.0,MM:2880-19620,1,"2021,2026","annual_incident_eligible,gatekeeper_eligible","MM_3L,MM_5L","Fonseca R et al., Frontline treatment patterns and attrition | ICER, Anti B-Cell Maturation Antigen CAR T-cell and Antibody"
adstiladrin,US,annual,2,2,2870.0,5740.0,2870.0,5740.0,NMIBC:2870-5740,1,2023,annual_incident_eligible,NMIBC_BCGunresp_CIS,Derived from Ferring/NCI framing (row above) | Derived from Ferring/NCI framing and Ferring statement that 
alofisel,Germany,annual,1,1,90.0,230.0,90.0,230.0,CD:90-230,1,2018,gatekeeper_eligible,CD_fistula,"G-BA Beschluss, Darvadstrocel, 22 Nov 2018"
amtagvi,US,annual,1,1,13000.0,13000.0,13000.0,13000.0,MEL:13000-13000,1,2026,annual_incident_eligible,MEL_postPD1,Replimune Group Form 10-K for fiscal year ended 31 March 202
aucatzyl,England,annual,1,1,50.0,50.0,50.0,50.0,ALL:50-50,1,2025,gatekeeper_eligible,ALL_adult,NICE TA1116 resource impact summary report (11 December 2025
aucatzyl,US,annual,2,1,3250.0,3250.0,3000.0,3250.0,ALL:3250-3250,1,"2023,2024",company_addressable,ALL_adult,Autolus Therapeutics plc Form 10-K for FY2024 | Autolus corporate presentation / investor materials (search-
beqvez,US,prevalent,1,1,860.0,860.0,860.0,860.0,HEMB:860-860,1,2022,gatekeeper_eligible,HemB_adult,"ICER, Gene Therapy for Hemophilia B and An Update on Gene Th"
breyanzi,England,annual,2,1,565.0,592.0,565.0,600.0,LBCL:565-592,1,2025,gatekeeper_eligible,LBCL_2L,"AABB News, 'UK's NICE Approves Liso-cel for NHS England' (21 | NICE TA1048 resource impact summary report (26 March 2025)"
breyanzi,France,annual,1,1,602.0,602.0,602.0,602.0,LBCL:602-602,1,2024,gatekeeper_eligible,LBCL_2L,"HAS, BREYANZI (lisocabtagene maraleucel) LDGCB/LHGCB/LMPGCB/"
breyanzi,Germany,annual,4,4,1790.0,3193.0,1790.0,3193.0,FL:370-840; LBCL:1420-2353,2,"2021,2023,2025",gatekeeper_eligible,"FL_3L,LBCL_2L,LBCL_3L","Derived from G-BA Tragende Gründe D-951 (16 Nov 2023), secti | G-BA Beschluss über eine Änderung der Arzneimittel-Richtlini | G-BA Tragende Gründe zum Beschluss AM-RL Anlage XII: Lisocab | G-BA Tragende Gründe, Lisocabtagen maraleucel (Breyanzi), D-"
breyanzi,US,annual,1,1,2984.0,5969.0,2984.0,5969.0,LBCL:2984-5969,1,2024,annual_incident_eligible,LBCL_2L,Derived from Perales 2022 (Transplant Cell Ther) BIM inputs 
carvykti,Canada,annual,1,0,,,2493.0,5108.0,MM:2493-5108,1,2025,gatekeeper_eligible,MM_4L,"CADTH Reimbursement Review, Ciltacabtagene Autoleucel (Carvy"
carvykti,France,annual,1,1,1350.0,1350.0,1350.0,1350.0,MM:1350-1350,1,2025,gatekeeper_eligible,MM_2L,"HAS CEESP, Avis economique CARVYKTI (ciltacabtagene autoleuc"
carvykti,Germany,annual,3,3,1100.0,2460.0,1100.0,2460.0,MM:1100-2460,1,"2023,2025",gatekeeper_eligible,"MM_2L,MM_4L,MM_5L","G-BA Beschluss AM-RL Anlage XII: Ciltacabtagen autoleucel (n | G-BA Beschluss AM-RL Anlage XII: Ciltacabtagen autoleucel, B | G-BA Tragende Gruende zum Beschluss AM-RL Anlage XII: Ciltac"
carvykti,UK,annual,2,2,980.0,3985.0,980.0,3985.0,MM:980-3985,1,2022,annual_incident_eligible,"MM_2L,MM_4L","Fonseca R et al., Frontline treatment patterns and attrition | Yong K et al., Multiple myeloma: patient outcomes in real-wo"
carvykti,US,annual,3,3,2880.0,28440.0,2880.0,28440.0,MM:2880-28440,1,"2021,2026","annual_incident_eligible,gatekeeper_eligible","MM_2L,MM_5L","Fonseca R et al., Frontline treatment patterns and attrition | ICER, Anti B-Cell Maturation Antigen CAR T-cell and Antibody"
casgevy,Canada,annual,1,1,1.0,15.0,1.0,15.0,TDT:1-15,1,2025,gatekeeper_eligible,TDT_12plus,"CDA-AMC Pharmacoeconomic Review, Exagamglogene Autotemcel (C"
casgevy,Canada,prevalent,1,1,1100.0,1200.0,1100.0,1200.0,SCD:1100-1200,1,2025,gatekeeper_eligible,SCD_VOC_12plus,"CDA-AMC Pharmacoeconomic Review, Exagamglogene Autotemcel (C"
casgevy,EU,prevalent,1,1,37000.0,37000.0,37000.0,37000.0,SCD:37000-37000,1,2025,company_addressable,SCD_VOC_12plus,"Vertex 8-K Ex-99.1, Vertex Reports Third Quarter 2025 Financ"
casgevy,England,prevalent,3,3,2225.0,2380.0,2225.0,2380.0,SCD:1750-1882; TDT:475-498,2,"2024,2025",gatekeeper_eligible,"SCD_VOC_12plus,TDT_12plus","NICE TA1003 Exagamglogene autotemcel for treating transfusio | NICE TA1044 Exagamglogene autotemcel for treating severe sic | NICE TA1044, section 3 Committee discussion (guidance publis"
casgevy,Germany,prevalent,2,2,150.0,480.0,150.0,480.0,SCD:130-330; TDT:20-150,2,2025,gatekeeper_eligible,"SCD_VOC_12plus,TDT_12plus",G-BA Beschluss Anlage XII Exagamglogen autotemcel (Sichelzel | G-BA Beschluss Anlage XII Exagamglogen autotemcel (transfusi
casgevy,Italy,prevalent,2,0,,,7300.0,7300.0,SCD:2300-2300; TDT:5000-5000,2,2025,company_addressable,"SCD_VOC_12plus,TDT_12plus","Vertex press release, CASGEVY Reimbursement Agreement ... in"
casgevy,US,prevalent,3,3,5500.0,25000.0,5500.0,25000.0,SCD:5500-25000,1,"2023,2026","company_addressable,gatekeeper_eligible","SCD_TDT_2to11,SCD_VOC_12plus","ICER, Gene Therapies for Sickle Cell Disease, Final Evidence | Vertex 8-K Ex-99.1, Vertex Reports Second Quarter 2026 Finan"
casgevy,multi: US+EU,prevalent,2,2,35000.0,35000.0,35000.0,35000.0,SCD:30000-30000; TDT:5000-5000,2,2023,company_addressable,"SCD_VOC_12plus,TDT_12plus","Vertex 8-K Ex-99.1, Vertex Reports Fourth Quarter and Full Y"
ebvallo,Germany,annual,1,1,7.0,30.0,7.0,30.0,PTLD:7-30,1,2021,gatekeeper_eligible,PTLD_rr,"IQWiG Dossierbewertung G23-08, Tabelecleucel (EBV-positives "
ebvallo,US,annual,1,1,471.0,471.0,471.0,471.0,PTLD:471-471,1,2024,gatekeeper_eligible,PTLD_rr,"ICER, Tabelecleucel for Epstein-Barr Virus Positive Post-Tra"
elevidys,US,annual,1,1,364.0,557.0,364.0,557.0,DMD:364-557,1,2023,annual_incident_eligible,DMD_4plus,"Derived from CDC 2023 births, Crisafulli 2020 and FDA SBRA i"
