"product","system","country","body","indication_key","indication_text","regulatory_approval_date","submission_or_start_date","decision_date","outcome","arrangement_type","arrangement_detail","added_benefit_or_rating","price_at_decision","price_currency","price_basis","stated_reasons_verbatim","document_title","document_id","source_url","fetched_date","status","notes"
"Kymriah","Italy","Italy","AIFA","ALL_ped","Pazienti pediatrici e giovani adulti fino a venticinque anni di eta' con leucemia linfoblastica acuta (LLA) a cellule B che e' refrattaria, in recidiva post-trapianto o in seconda o ulteriore recidiva.","2018-08-23","2019-05-20","2019-08-12","recommended-managed-access","outcomes-based","classe H; 'Per l'indicazione LLA e' prevista una modalita' di pagamento condizionato (payment at results) all'infusione, a sei e a dodici mesi, come da condizioni negoziali'; registro di monitoraggio AIFA (scheda di arruolamento e follow-up)","innovatività piena","320000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00; sconto/condizioni negoziali confidenziali)","Scheda innovatività (CTS gennaio 2019): 'In considerazione della rarità della malattia, si ritiene che a Kymriah possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove moderata. L'innovatività verrà rivalutata dopo un anno.'","Regime di rimborsabilita' e prezzo del medicinale per uso umano «Kymriah». (Determina n. 1264/2019) - GU Serie Generale n.188 del 12-08-2019","19A05147","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-08-12&atto.codiceRedazionale=19A05147","2026-09-05","verified-from-source","Cnn: Determina n. 50162/2019 del 6 maggio 2019, GU n.116 del 20-05-2019 (19A03206). Domanda di rimborsabilità protocollata 6 luglio 2018; CTS 5-8 marzo 2019; CPR 3 luglio 2019; CdA AIFA 7 agosto 2019. Innovatività 12 mesi, confermata per ulteriori 24 mesi con Determina DG 776/2020 (CTS 15-17 luglio 2020), GU n.196 del 06-08-2020 (20A04332). Validità contratto 18 mesi. Fondo farmaci innovativi oncologici. Numero pazienti eleggibili non indicato nella determina né nella scheda."
"Kymriah","Italy","Italy","AIFA","LBCL_3L","Pazienti adulti con linfoma diffuso a grandi cellule B (DLBCL) in recidiva o refrattario dopo due o piu' linee di terapia sistemica.","2018-08-23","2019-05-20","2019-08-12","recommended-managed-access","outcomes-based","classe H; 'Per l'indicazione DLBCL e' previsto uno sconto obbligatorio sul prezzo ex factory ... e una modalita' di pagamento condizionato (payment at results) all'infusione, a sei e a dodici mesi, come da condizioni negoziali'; registro AIFA","innovatività piena","320000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00; sconto confidenziale)","Scheda innovatività (CTS gennaio 2019): 'Data la rarità del DLBCL, si ritiene che a Kymriah possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove bassa. L'innovatività verrà rivalutata dopo un anno. Giudizio espresso a maggioranza, con il parere divergente di due componenti che non ritengono possibile riconoscere l'innovatività piena sulla base delle prove disponibili.'","Regime di rimborsabilita' e prezzo del medicinale per uso umano «Kymriah». (Determina n. 1264/2019) - GU Serie Generale n.188 del 12-08-2019","19A05147","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-08-12&atto.codiceRedazionale=19A05147","2026-09-05","verified-from-source","Same determina as ALL row. Cnn GU 20-05-2019. Domanda 6 luglio 2018; CTS 5-8 marzo 2019; CPR 3 luglio 2019. Innovatività confermata Determina DG 776/2020 GU 06-08-2020. Validità 18 mesi."
"Kymriah","Italy","Italy","AIFA","ALL_ped;LBCL_3L","Kymriah e' indicato per il trattamento di: pazienti pediatrici e giovani adulti fino a venticinque anni di eta' con LLA a cellule B refrattaria, in recidiva post-trapianto o in seconda o ulteriore recidiva; pazienti adulti con DLBCL in recidiva o refrattario dopo due o piu' linee di terapia sistemica.","2018-08-23","","2022-12-12","recommended-managed-access","outcomes-based","Rinegoziazione: classe H confermata; sconto obbligatorio (DLBCL) e payment at results all'infusione, a sei e a dodici mesi confermati per entrambe le indicazioni; registro confermato; accordo novativo della Determina 1264/2019","innovatività piena (scaduta; non oggetto della rinegoziazione)","320000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00)","","Rinegoziazione del medicinale per uso umano «Kymriah» ai sensi dell'articolo 8, comma 10, della legge 24 dicembre 1993, n. 537. (Determina n. 846/2022) - GU Serie Generale n.289 del 12-12-2022","22A06867","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-12&atto.codiceRedazionale=22A06867","2026-09-05","verified-from-source","Renegotiation row. Domanda di rinegoziazione 23 dicembre 2020; CTS 14 dicembre 2021; CPR 21-23 settembre 2022; CdA 31 ottobre 2022. Validità contratto 12 mesi."
"Kymriah","Italy","Italy","AIFA","FL_3L","Kymriah e' indicato per il trattamento di pazienti adulti con linfoma follicolare (LF) in recidiva o refrattario dopo due o piu' linee di terapia sistemica","2022-05-30","","2023-08-08","recommended-restricted","confidential-discount","classe H; sconto obbligatorio sul prezzo ex factory; 'E' confermato il pagamento del prezzo di cessione al SSN delle sole unita' infuse. La cessione dei lotti fuori specifica (OOS) avviene a titolo gratuito. E' eliminata la modalita' di pagamento condizionato (payment at result) all'infusione, a sei e a dodici mesi'; registro AIFA per tutte le indicazioni","non innovativo","320000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00)","Scheda innovatività (CTS giugno 2022): 'In considerazione del bisogno terapeutico moderato, del valore terapeutico aggiunto moderato e qualità delle evidenze molto bassa, non può essere riconosciuta a Kymriah® nell'indicazione richiesta l'innovatività.'","Regime di rimborsabilita' e prezzo, a seguito di nuove indicazioni terapeutiche, del medicinale per uso umano «Kymriah». (Determina n. 519/2023) - GU Serie Generale n.184 del 08-08-2023","23A04400","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-08-08&atto.codiceRedazionale=23A04400","2026-09-05","verified-from-source","Extension of indication. EU FL indication approved 2022-05-30 (EC decision; from EMA records, not in the Determina). Domanda 21 aprile 2022; CTS 7-9 e 14 settembre 2022; CPR 23-26 maggio 2023; CdA 21 giugno 2023. Validità 24 mesi. The determina also removes payment at result for ALL and DLBCL for new patients (MEA continues only for patients already treated)."
"Yescarta","Italy","Italy","AIFA","LBCL_3L","«Yescarta» e' indicato per il trattamento di pazienti adulti con linfoma diffuso a grandi cellule B (diffuse large B-cell lymphoma, DLBCL) e linfoma primitivo del mediastino a grandi cellule B (primary mediastinal large B-cell lymphoma, PMBCL) refrattari o recidivanti, dopo due o piu' linee di terapia sistemica","2018-08-23","","2019-11-11","recommended-managed-access","outcomes-based","classe H; 'Sconto obbligatorio sul prezzo ex factory ... e una modalita' di pagamento condizionato (payment at result) a 180, 270 e 365 giorni, come da condizioni negoziali'; registro AIFA","innovatività piena","327000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)","Scheda innovatività (CTS gennaio 2019): 'Data la rarità del DLBCL/PMBCL, si ritiene che a Yescarta possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove moderata. L'innovatività verrà rivalutata dopo un anno. Giudizio espresso a maggioranza, con il parere divergente di due componenti che non ritengono possibile riconoscere l'innovatività piena sulla base delle prove disponibili.'","Regime di rimborsabilita' e prezzo del medicinale per uso umano «Yescarta». (Determina n. DG/1643/2019) - GU Serie Generale n.264 del 11-11-2019","19A06932","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-11-11&atto.codiceRedazionale=19A06932","2026-09-05","verified-from-source","No separate Cnn classification found (AIC attributed in the same determina; AIFA database dataRegistrazioneGU 2019-11-11). Domanda protocollata 6 luglio 2018; CTS 5-8 marzo 2019; CPR 24-26 settembre 2019. Innovatività 12 mesi, confermata per ulteriori 24 mesi con Determina DG/1082/2020, GU n.267 del 27-10-2020 (20A05871). Validità 18 mesi. Fondo farmaci innovativi oncologici."
"Yescarta","Italy","Italy","AIFA","LBCL_3L","«Yescarta» e' indicato per il trattamento di pazienti adulti con linfoma diffuso a grandi cellule B (diffuse large B-cell lymphoma, DLBCL) e linfoma primitivo del mediastino a grandi cellule B (primary mediastinal large B-cell lymphoma, PMBCL) refrattari o recidivanti, dopo due o piu' linee di terapia sistemica","2018-08-23","","2022-12-13","recommended-restricted","confidential-discount","Rinegoziazione: classe H; sconto obbligatorio; 'E' confermato il pagamento delle sole unita' di infusione. La cessione dei lotti fuori specifica (OOS) avviene a titolo gratuito. E' eliminata la modalita' di pagamento condizionato (payment at result), a centottanta, duecentosettanta e trecentosessantacinque giorni'; registro confermato","innovatività piena (scaduta; non oggetto della rinegoziazione)","327000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)","","Rinegoziazione del medicinale per uso umano «Yescarta», ai sensi dell'articolo 8, comma 10, della legge 24 dicembre 1993, n. 537. (Determina n. 878/2022) - GU Serie Generale n.290 del 13-12-2022","22A07030","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-13&atto.codiceRedazionale=22A07030","2026-09-05","verified-from-source","Renegotiation row. Domanda 21 dicembre 2020; CTS 6-9 e 12 aprile 2021; CPR 21-23 settembre 2022; CdA 31 ottobre 2022. Validità 24 mesi. Accordo novativo della Determina DG/1643/2019."
"Yescarta","Italy","Italy","AIFA","LBCL_2L","«Yescarta» e' indicato per il trattamento di pazienti adulti con linfoma diffuso a grandi cellule B (DLBCL) e linfoma a cellule B ad alto grado (HGBL) refrattario alla chemioimmunoterapia di prima linea o recidivante entro dodici mesi dal completamento della chemioimmunoterapia di prima linea","2022-10-18","","2023-11-11","recommended-restricted","confidential-discount","classe H; 'Sconto obbligatorio sul prezzo ex factory su tutta la molecola'; 'Cessione gratuita dei prodotti fuori specifica e pagamento all'infusione'; registro AIFA","innovatività piena","327000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)","Scheda innovatività (CTS febbraio 2023): 'Dati i risultati del trial ZUMA-7 e l'unmet clinical need nel setting interessato dalla sperimentazione, si ritiene che a Yescarta possa essere riconosciuta una innovatività piena in questa indicazione in considerazione del 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto importante 3) qualità delle evidenze moderata.'","Regime di rimborsabilita' e prezzo, a seguito di nuove indicazioni terapeutiche, del medicinale per uso umano «Yescarta». (Determina n. 675/2023) - GU Serie Generale n.264 del 11-11-2023","23A06207","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-11-11&atto.codiceRedazionale=23A06207","2026-09-05","verified-from-source","Extension of indication (EU 2L LBCL approval 2022-10-18 per EMA, not stated in Determina). CTS 6-10 febbraio 2023 e 8-10 marzo 2023; CPR 18-20 luglio 2023; CdA 20 settembre 2023. Innovatività efficace 12/11/2023 - 11/11/2026 (elenco AIFA farmaci innovativi 31.07.2026). Validità 24 mesi; accordo novativo della Determina 878/2022."
"Yescarta","Italy","Italy","AIFA","FL_4L","«Yescarta» e' indicato per il trattamento di pazienti adulti con linfoma follicolare (LF) r/r dopo tre o piu' linee di terapia sistemica","2022-06-20","","2023-11-11","recommended-restricted","confidential-discount","classe H; sconto obbligatorio su tutta la molecola; pagamento all'infusione; OOS gratuiti; registro AIFA","non innovativo","327000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)","Scheda innovatività (CTS marzo 2023): 'In considerazione del: 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto moderato 3) qualità delle evidenze molto bassa, non può essere riconosciuta a Yescarta® nell'indicazione richiesta l'innovatività.'","Regime di rimborsabilita' e prezzo, a seguito di nuove indicazioni terapeutiche, del medicinale per uso umano «Yescarta». (Determina n. 675/2023) - GU Serie Generale n.264 del 11-11-2023","23A06207","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-11-11&atto.codiceRedazionale=23A06207","2026-09-05","verified-from-source","Same determina as LBCL_2L row. EU FL indication approved 2022-06-20 (EMA record). CTS 6-10 febbraio 2023 e 8-10 marzo 2023; CPR 18-20 luglio 2023."
"Tecartus","Italy","Italy","AIFA","MCL_3L","«Tecartus» e' indicato per il trattamento di pazienti adulti con linfoma a cellule mantellari (mantle cell lymphoma, MCL) recidivante o refrattario dopo due o piu' linee di terapia sistemica che includano un inibitore della tirosin chinasi di Bruton (Bruton's tyrosine kinase, BTK).","2020-12-14","2021-04-12","2022-03-11","recommended-restricted","confidential-discount","classe H; sconto obbligatorio sul prezzo ex factory; 'Il pagamento del prezzo di cessione al SSN dovra' avvenire al momento dell'infusione, escludendo il pagamento delle infusioni fuori dalle specifiche'; registro AIFA","innovatività piena","360000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 594.144,00)","Scheda innovatività (CTS marzo 2021): 'Data la rarità del MCL, si ritiene che a Tecartus possa essere riconosciuta l'innovatività in questa indicazione in considerazione del 1) bisogno terapeutico importante 2) valore terapeutico aggiunto importante 3) qualità delle prove molto bassa.'","Riclassificazione del medicinale per uso umano «Tecartus», ai sensi dell'art. 8, comma 10, della legge 24 dicembre 1993, n. 537. (Determina n. 196/2022) - GU Serie Generale n.59 del 11-03-2022","22A01661","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-03-11&atto.codiceRedazionale=22A01661","2026-09-05","verified-from-source","Cnn: Determina n. 47/2021 del 2 aprile 2021, GU n.87 del 12-04-2021 (21A02163). Domanda 30 ottobre 2020; CTS 5-7 e 13 maggio 2021; CPR 21-25-27 gennaio 2022; CdA 10 febbraio 2022. Innovatività 12/03/2022-11/03/2025 (elenco AIFA). Validità 24 mesi. Registry criteria modified by Determina n. 104/2024, GU n.181 del 03-08-2024 (24A04031)."
"Tecartus","Italy","Italy","AIFA","ALL_adult_26plus","«Tecartus» e' indicato per il trattamento di pazienti adulti di eta' pari o superiore a ventisei anni con leucemia linfoblastica acuta (acute lymphoblastic leukaemia, ALL) a precursori di cellule B recidivante o refrattaria","2022-09-01","","2023-12-04","recommended-restricted","confidential-discount","classe H; sconto obbligatorio; pagamento al momento dell'infusione; OOS a titolo gratuito; registro AIFA; accordo novativo della Determina 196/2022","innovatività condizionata","360000","EUR","ex-factory GU (prezzo al pubblico IVA inclusa EUR 594.144,00)","Scheda innovatività (CTS febbraio 2023): 'In considerazione del: 1) bisogno terapeutico moderato 2) valore terapeutico aggiunto moderato 3) qualità delle evidenze bassa, può essere riconosciuta a Tecartus® nell'indicazione richiesta l'innovatività condizionata.'","Regime di rimborsabilita' e prezzo, a seguito di nuove indicazioni terapeutiche, del medicinale per uso umano «Tecartus». (Determina n. 706/2023) - GU Serie Generale n.283 del 04-12-2023","23A06556","https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-12-04&atto.codiceRedazionale=23A06556","2026-09-05","verified-from-source","Extension of indication (EU ALL approval 2022-09-01 per EMA record). Domanda 21 ottobre 2022; CTS 6-10 febbraio 2023; CPR 18-20 e 25 settembre 2023; CdA 8 novembre 2023. Innovatività condizionata 05/12/2023-04/12/2026 (elenco AIFA). MCL innovativeness confirmed for residual period. Validità 12 mesi."
